,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
61,-0.64%,-0.18%,0.29%,0 days 00:32:00.000000000,0.49%,1.3561369094395708,233,-0.6933278317898539,-0.007168000000000285,50%,4,-0.93%,0 days 00:26:00.000000000,10,26,26
62,-0.46%,-0.46%,nan%,0 days 00:31:20.000000000,-0.13%,1.5740946256426456,233,-1.151089849316589,-0.012342000000000186,0%,3,-0.91%,0 days 00:29:00.000000000,26,26,26
63,-0.48%,-0.48%,nan%,0 days 00:31:40.000000000,-0.23%,1.5672959445867303,233,-1.2010652290166668,-0.013001999999999958,0%,3,-0.92%,0 days 00:30:00.000000000,30,26,26
64,-0.82%,-0.54%,0.02%,0 days 00:33:40.000000000,0.02%,1.7300643675127454,233,-1.2047187129366121,-0.0134220000000006,33%,3,-0.92%,0 days 00:32:00.000000000,45,26,26
65,-0.46%,-0.23%,0.49%,0 days 00:33:15.000000000,0.49%,1.4661155735787044,233,-0.8620080059947678,-0.009007999999999017,25%,4,-0.92%,0 days 00:27:00.000000000,5,30,26
66,-0.49%,-0.32%,0.18%,0 days 00:33:30.000000000,0.18%,1.5840926860189426,233,-1.2059400968713943,-0.012648000000000215,25%,4,-0.91%,0 days 00:29:00.000000000,10,30,26
67,-0.54%,-0.54%,nan%,0 days 00:32:20.000000000,-0.30%,1.8492412471980504,233,-1.4612195954419114,-0.01582199999999989,0%,3,-0.95%,0 days 00:31:00.000000000,26,30,26
68,-0.49%,-0.49%,nan%,0 days 00:32:40.000000000,-0.23%,1.695271117403265,233,-1.3149088927951762,-0.014282000000000239,0%,3,-0.92%,0 days 00:32:00.000000000,30,30,26
69,-0.79%,-0.42%,0.31%,0 days 00:35:00.000000000,0.31%,1.720866151966519,233,-0.7181421493948482,-0.008282000000000678,33%,3,-1.02%,0 days 00:34:00.000000000,45,30,26
70,-0.68%,-0.68%,nan%,0 days 00:35:30.000000000,-0.45%,1.4641159615034673,233,-0.4868839537134766,-0.005529999999999702,0%,2,-0.92%,0 days 00:27:00.000000000,5,45,26
71,-0.67%,-0.67%,nan%,0 days 00:36:00.000000000,-0.42%,1.4081268233962485,233,-0.4373899418298563,-0.004969999999999364,0%,2,-0.91%,0 days 00:29:00.000000000,10,45,26
72,-0.70%,-0.70%,nan%,0 days 00:38:00.000000000,-0.45%,1.5988898153758067,233,-0.48028852302510106,-0.005550000000000055,0%,2,-0.94%,0 days 00:33:00.000000000,26,45,26
73,-0.63%,-0.63%,nan%,0 days 00:38:30.000000000,-0.25%,1.578893694623235,233,-0.523484811544008,-0.00598999999999994,0%,2,-1.02%,0 days 00:34:00.000000000,30,45,26
74,-0.77%,-0.77%,nan%,0 days 00:40:00.000000000,-0.58%,1.872836669686067,233,-0.676100674896204,-0.007809999999999762,0%,2,-0.97%,0 days 00:39:00.000000000,45,45,26
75,-0.41%,-0.07%,0.18%,0 days 00:14:51.428571428,0.47%,1.0325999999998947,230,-0.6030277846035629,-0.00536399999999837,57%,7,-0.82%,0 days 00:07:00.000000000,5,5,30
76,-0.41%,-0.11%,0.33%,0 days 00:21:00.000000000,0.44%,1.0422000000000597,230,-0.6304828616932178,-0.0057600000000007645,40%,5,-0.84%,0 days 00:10:00.000000000,10,5,30
77,-0.35%,-0.13%,0.54%,0 days 00:30:30.000000000,0.54%,1.2250000000000316,230,-0.4945230931789037,-0.0051280000000003545,25%,4,-0.55%,0 days 00:17:00.000000000,26,5,30
78,-0.41%,-0.18%,0.49%,0 days 00:31:30.000000000,0.49%,1.3949999999999352,230,-0.6867013188469552,-0.007247999999999366,25%,4,-0.82%,0 days 00:19:00.000000000,30,5,30
79,-0.60%,-0.60%,nan%,0 days 00:30:40.000000000,-0.41%,1.7575999999999814,230,-1.0410494825387573,-0.011741999999999475,0%,3,-0.93%,0 days 00:22:00.000000000,45,5,30
80,-0.60%,-0.12%,0.21%,0 days 00:22:12.000000000,0.51%,1.1522000000000032,230,-0.6238256930403251,-0.005959999999999854,60%,5,-0.91%,0 days 00:11:00.000000000,5,10,30
81,-0.54%,-0.04%,0.29%,0 days 00:22:48.000000000,0.59%,0.9909999999999641,230,-0.22631751943582218,-0.0022399999999994646,60%,5,-0.76%,0 days 00:13:00.000000000,10,10,30
82,-0.44%,-0.26%,0.28%,0 days 00:31:45.000000000,0.28%,1.4029999999999654,230,-0.9650376063096017,-0.010207999999999329,25%,4,-0.85%,0 days 00:20:00.000000000,26,10,30
83,-0.54%,-0.36%,0.18%,0 days 00:32:15.000000000,0.18%,1.5676000000000023,230,-1.3040616836135568,-0.013987999999999667,25%,4,-0.96%,0 days 00:21:00.000000000,30,10,30
84,-0.50%,-0.50%,nan%,0 days 00:32:00.000000000,-0.17%,1.5829999999999789,230,-0.8063685208991073,-0.009102000000000277,0%,3,-0.91%,0 days 00:25:00.000000000,45,10,30
85,-0.52%,-0.24%,0.59%,0 days 00:34:30.000000000,0.59%,1.720999999999917,230,-0.8910317944955619,-0.00960799999999895,25%,4,-0.92%,0 days 00:26:00.000000000,5,26,30
86,-0.54%,-0.32%,0.37%,0 days 00:34:30.000000000,0.37%,1.7089999999999606,230,-1.1434932491175873,-0.012467999999998924,25%,4,-0.92%,0 days 00:26:00.000000000,10,26,30
87,-0.71%,-0.71%,nan%,0 days 00:35:00.000000000,-0.48%,1.5110000000000068,230,-0.54578955844196,-0.006189999999999918,0%,2,-0.94%,0 days 00:29:00.000000000,26,26,30
88,-0.87%,-0.87%,nan%,0 days 00:36:00.000000000,-0.73%,1.7089999999999272,230,-0.707324199232052,-0.008169999999999233,0%,2,-1.02%,0 days 00:30:00.000000000,30,26,30
89,-0.82%,-0.82%,nan%,0 days 00:36:30.000000000,-0.52%,1.9237999999999755,230,-0.6832369489269317,-0.007970000000000255,0%,2,-1.12%,0 days 00:32:00.000000000,45,26,30
