EMVStrategy_52_1_95,tickers,['BTCUSDT'],initial equity,1,frequency,60 min,,
,,,,,,,,
Start date,2018/4/1 0:00,End date,2018/9/1 0:00,,,,,
,,,,,,,,
timestamp,ticker,action,quantity,exchange,price,commission,,
,,,,,,,,
,,,,,,,,
2018/5/20 2:00,BTCUSDT,LONG,9.83E-05,Binance,8279.77,0.000814509,,
,,,,,,,,
2018/5/22 22:00,BTCUSDT,SHORT,9.83E-05,Binance,7961.99,0.000782465,,
,,,,,,,,
2018/5/26 16:00,BTCUSDT,LONG,0.00010378,Binance,7524.57,0.000781682,,
,,,,,,,,
2018/6/2 21:00,BTCUSDT,SHORT,0.00010378,Binance,7639.89,0.000792869,,
,,,,,,,,
2018/6/4 10:00,BTCUSDT,LONG,0.000104226,Binance,7592,0.000792076,,
,,,,,,,,
2018/6/4 11:00,BTCUSDT,SHORT,0.000104226,Binance,7505,0.000782216,,
,,,,,,,,
2018/6/7 18:00,BTCUSDT,LONG,0.00010142,Binance,7697.2,0.000781434,,
,,,,,,,,
2018/6/9 23:00,BTCUSDT,SHORT,0.00010142,Binance,7491.73,0.000759814,,
,,,,,,,,
2018/6/14 8:00,BTCUSDT,LONG,0.00011693,Binance,6485.01,0.000759054,,
,,,,,,,,
2018/6/18 9:00,BTCUSDT,SHORT,0.00011693,Binance,6457.98,0.000755134,,
,,,,,,,,
2018/6/18 16:00,BTCUSDT,LONG,0.000113413,Binance,6644.95,0.000754379,,
,,,,,,,,
2018/6/21 17:00,BTCUSDT,SHORT,0.000113413,Binance,6703.98,0.000760319,,
,,,,,,,,
2018/6/25 18:00,BTCUSDT,LONG,0.000121117,Binance,6265,0.000759559,,
,,,,,,,,
2018/6/29 0:00,BTCUSDT,SHORT,0.000121117,Binance,5890.72,0.000713468,,
,,,,,,,,
2018/6/30 1:00,BTCUSDT,LONG,0.000111113,Binance,6408.27,0.000712754,,
,,,,,,,,
2018/7/4 6:00,BTCUSDT,SHORT,0.000111113,Binance,6524.01,0.000724902,,
,,,,,,,,
2018/7/8 12:00,BTCUSDT,LONG,0.000107528,Binance,6728.01,0.000724177,,
,,,,,,,,
2018/7/10 9:00,BTCUSDT,SHORT,0.000107528,Binance,6448.97,0.000693448,,
,,,,,,,,
2018/7/14 13:00,BTCUSDT,LONG,0.000110946,Binance,6237.84,0.000692754,,
,,,,,,,,
2018/7/19 22:00,BTCUSDT,SHORT,0.000110946,Binance,7485.95,0.000830534,,
,,,,,,,,
2018/7/24 5:00,BTCUSDT,LONG,0.000103791,Binance,7985.99,0.000829704,,
,,,,,,,,
2018/7/26 23:00,BTCUSDT,SHORT,0.000103791,Binance,7920,0.000822025,,
,,,,,,,,
2018/7/29 19:00,BTCUSDT,LONG,9.98E-05,Binance,8221.01,0.000821203,,
,,,,,,,,
2018/7/31 12:00,BTCUSDT,SHORT,9.98E-05,Binance,7800.01,0.00077837,,
,,,,,,,,
2018/8/5 7:00,BTCUSDT,LONG,0.000111901,Binance,6942,0.000777591,,
,,,,,,,,
2018/8/5 22:00,BTCUSDT,SHORT,0.000111901,Binance,7027.45,0.000786376,,
,,,,,,,,
2018/8/6 11:00,BTCUSDT,LONG,0.000112436,Binance,6980,0.000785589,,
,,,,,,,,
2018/8/6 12:00,BTCUSDT,SHORT,0.000112436,Binance,6965.27,0.000783147,,
,,,,,,,,
2018/8/6 19:00,BTCUSDT,LONG,0.000112573,Binance,6942.89,0.000782364,,
,,,,,,,,
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate,,
,,,,,,,,
-1.570378302,-1.911976888,33.38730593,2517,-0.243502744,-0.689203243,-0.546079508,,
,,,,,,,,
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
,,,,,,,,
27,0.333333333,-0.005798941,0.045682406,-0.031539614,0.200086889,-0.060215469,1 days 22:00:00,2 days 07:22:13
