EMVStrategy_12_5_120,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-12-16 15:00:00,BTCUSDT,LONG,100,Binance,18751.02,1875.102
2017-12-17 17:00:00,BTCUSDT,SHORT,100,Binance,19124.55,1912.455
2017-12-18 18:00:00,BTCUSDT,LONG,100,Binance,18260.94,1826.094
2017-12-19 01:00:00,BTCUSDT,SHORT,100,Binance,18545.77,1854.5770000000002
2017-12-20 17:00:00,BTCUSDT,LONG,100,Binance,16856.87,1685.687
2017-12-21 03:00:00,BTCUSDT,SHORT,100,Binance,16901.03,1690.103
2017-12-23 02:00:00,BTCUSDT,LONG,100,Binance,13800.0,1380.0
2017-12-24 05:00:00,BTCUSDT,SHORT,100,Binance,13436.29,1343.6290000000001
2017-12-25 02:00:00,BTCUSDT,LONG,100,Binance,13003.0,1300.3000000000002
2017-12-27 15:00:00,BTCUSDT,SHORT,100,Binance,15155.01,1515.5010000000002
2017-12-29 06:00:00,BTCUSDT,LONG,100,Binance,14830.98,1483.098
2017-12-29 19:00:00,BTCUSDT,SHORT,100,Binance,14640.7,1464.0700000000002
2017-12-31 08:00:00,BTCUSDT,LONG,100,Binance,12552.01,1255.201
2018-01-01 14:00:00,BTCUSDT,SHORT,100,Binance,13211.39,1321.1390000000001
2018-01-02 03:00:00,BTCUSDT,LONG,100,Binance,13353.79,1335.3790000000001
2018-01-03 19:00:00,BTCUSDT,SHORT,100,Binance,14700.01,1470.0010000000002
2018-01-04 02:00:00,BTCUSDT,LONG,100,Binance,15110.9,1511.0900000000001
2018-01-04 11:00:00,BTCUSDT,SHORT,100,Binance,14539.97,1453.997
2018-01-05 06:00:00,BTCUSDT,LONG,100,Binance,14952.34,1495.2340000000002
2018-01-06 13:00:00,BTCUSDT,SHORT,100,Binance,16168.0,1616.8000000000002
2018-01-07 05:00:00,BTCUSDT,LONG,100,Binance,16564.0,1656.4
2018-01-07 10:00:00,BTCUSDT,SHORT,100,Binance,16739.0,1673.9
2018-01-09 05:00:00,BTCUSDT,LONG,100,Binance,14880.0,1488.0
2018-01-09 18:00:00,BTCUSDT,SHORT,100,Binance,14803.44,1480.344
2018-01-10 21:00:00,BTCUSDT,LONG,100,Binance,14515.0,1451.5
2018-01-11 07:00:00,BTCUSDT,SHORT,100,Binance,13530.42,1353.0420000000001
2018-01-11 17:00:00,BTCUSDT,LONG,100,Binance,13640.0,1364.0
2018-01-12 08:00:00,BTCUSDT,SHORT,100,Binance,13650.99,1365.0990000000002
2018-01-12 12:00:00,BTCUSDT,LONG,100,Binance,14039.63,1403.963
2018-01-14 03:00:00,BTCUSDT,SHORT,100,Binance,14162.0,1416.2
2018-01-15 06:00:00,BTCUSDT,LONG,100,Binance,13730.01,1373.0010000000002
2018-01-16 02:00:00,BTCUSDT,SHORT,100,Binance,13173.02,1317.3020000000001
2018-01-17 21:00:00,BTCUSDT,LONG,100,Binance,11419.0,1141.9
2018-01-19 11:00:00,BTCUSDT,SHORT,100,Binance,11530.22,1153.022
2018-01-19 15:00:00,BTCUSDT,LONG,100,Binance,11400.0,1140.0
2018-01-21 07:00:00,BTCUSDT,SHORT,100,Binance,11701.14,1170.114
2018-01-23 16:00:00,BTCUSDT,LONG,100,Binance,11329.99,1132.999
2018-01-25 18:00:00,BTCUSDT,SHORT,100,Binance,11250.0,1125.0
2018-01-26 06:00:00,BTCUSDT,LONG,100,Binance,11356.99,1135.699
2018-01-26 11:00:00,BTCUSDT,SHORT,100,Binance,10513.97,1051.397
2018-01-27 02:00:00,BTCUSDT,LONG,100,Binance,11089.76,1108.976
2018-01-28 21:00:00,BTCUSDT,SHORT,100,Binance,11962.38,1196.238
2018-01-31 17:00:00,BTCUSDT,LONG,100,Binance,10044.35,1004.4350000000001
2018-02-01 10:00:00,BTCUSDT,SHORT,100,Binance,9502.95,950.2950000000001
2018-02-02 15:00:00,BTCUSDT,LONG,100,Binance,9070.0,907.0
2018-02-04 13:00:00,BTCUSDT,SHORT,100,Binance,8681.03,868.1030000000001
2018-02-06 14:00:00,BTCUSDT,LONG,100,Binance,7167.93,716.7930000000001
2018-02-08 10:00:00,BTCUSDT,SHORT,100,Binance,8269.76,826.9760000000001
2018-02-08 13:00:00,BTCUSDT,LONG,100,Binance,8269.76,826.9760000000001
2018-02-10 16:00:00,BTCUSDT,SHORT,100,Binance,8185.98,818.598
2018-02-12 01:00:00,BTCUSDT,LONG,100,Binance,8345.51,834.551
2018-02-13 10:00:00,BTCUSDT,SHORT,100,Binance,8495.95,849.5950000000001
2018-02-14 05:00:00,BTCUSDT,LONG,100,Binance,8845.0,884.5
2018-02-16 12:00:00,BTCUSDT,SHORT,100,Binance,9848.93,984.893
2018-02-17 04:00:00,BTCUSDT,LONG,100,Binance,10527.02,1052.702
2018-02-18 07:00:00,BTCUSDT,SHORT,100,Binance,10589.76,1058.976
2018-02-19 18:00:00,BTCUSDT,LONG,100,Binance,11088.86,1108.8860000000002
