ADXStrategy_60,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-06-06 21:00:00,BTCUSDT,LONG,100,Binance,7664.99,766.499
2018-06-08 05:00:00,BTCUSDT,SHORT,100,Binance,7633.47,763.3470000000001
2018-06-08 16:00:00,BTCUSDT,LONG,100,Binance,7641.9,764.19
2018-06-08 19:00:00,BTCUSDT,SHORT,100,Binance,7641.13,764.113
2018-06-08 20:00:00,BTCUSDT,LONG,100,Binance,7642.31,764.2310000000001
2018-06-08 23:00:00,BTCUSDT,SHORT,100,Binance,7603.44,760.344
2018-06-09 04:00:00,BTCUSDT,LONG,100,Binance,7653.0,765.3000000000001
2018-06-09 08:00:00,BTCUSDT,SHORT,100,Binance,7615.02,761.5020000000001
2018-06-16 04:00:00,BTCUSDT,LONG,100,Binance,6423.99,642.399
2018-06-16 14:00:00,BTCUSDT,SHORT,100,Binance,6399.57,639.957
2018-06-17 01:00:00,BTCUSDT,LONG,100,Binance,6521.0,652.1
2018-06-17 04:00:00,BTCUSDT,SHORT,100,Binance,6528.06,652.806
2018-06-18 10:00:00,BTCUSDT,LONG,100,Binance,6429.8,642.98
2018-06-18 13:00:00,BTCUSDT,SHORT,100,Binance,6436.91,643.691
2018-06-18 14:00:00,BTCUSDT,LONG,100,Binance,6455.04,645.504
2018-06-22 01:00:00,BTCUSDT,SHORT,100,Binance,6637.59,663.759
2018-06-25 09:00:00,BTCUSDT,LONG,100,Binance,6162.99,616.299
2018-06-25 12:00:00,BTCUSDT,SHORT,100,Binance,6110.0,611.0
2018-06-25 14:00:00,BTCUSDT,LONG,100,Binance,6284.83,628.4830000000001
2018-06-25 23:00:00,BTCUSDT,SHORT,100,Binance,6252.0,625.2
2018-06-26 03:00:00,BTCUSDT,LONG,100,Binance,6209.99,620.999
2018-06-26 04:00:00,BTCUSDT,SHORT,100,Binance,6209.99,620.999
2018-06-26 16:00:00,BTCUSDT,LONG,100,Binance,6179.98,617.998
2018-06-27 04:00:00,BTCUSDT,SHORT,100,Binance,6057.99,605.799
2018-06-27 10:00:00,BTCUSDT,LONG,100,Binance,6116.0,611.6
2018-06-27 13:00:00,BTCUSDT,SHORT,100,Binance,6050.71,605.071
2018-06-27 15:00:00,BTCUSDT,LONG,100,Binance,6110.09,611.009
2018-06-27 16:00:00,BTCUSDT,SHORT,100,Binance,6129.99,612.999
2018-06-28 00:00:00,BTCUSDT,LONG,100,Binance,6143.67,614.3670000000001
2018-06-28 02:00:00,BTCUSDT,SHORT,100,Binance,6112.0,611.2
2018-06-28 12:00:00,BTCUSDT,LONG,100,Binance,6104.13,610.413
2018-06-28 13:00:00,BTCUSDT,SHORT,100,Binance,6110.13,611.013
2018-06-29 22:00:00,BTCUSDT,LONG,100,Binance,6243.38,624.3380000000001
2018-07-05 09:00:00,BTCUSDT,SHORT,100,Binance,6639.98,663.998
2018-07-06 12:00:00,BTCUSDT,LONG,100,Binance,6587.0,658.7
2018-07-07 01:00:00,BTCUSDT,SHORT,100,Binance,6566.01,656.6010000000001
2018-07-07 23:00:00,BTCUSDT,LONG,100,Binance,6756.98,675.698
2018-07-10 10:00:00,BTCUSDT,SHORT,100,Binance,6470.01,647.0010000000001
2018-07-14 17:00:00,BTCUSDT,LONG,100,Binance,6263.86,626.386
2018-07-21 00:00:00,BTCUSDT,SHORT,100,Binance,7235.04,723.504
2018-07-21 03:00:00,BTCUSDT,LONG,100,Binance,7280.02,728.0020000000001
2018-07-21 05:00:00,BTCUSDT,SHORT,100,Binance,7328.99,732.899
2018-07-21 08:00:00,BTCUSDT,LONG,100,Binance,7316.94,731.694
2018-07-22 10:00:00,BTCUSDT,SHORT,100,Binance,7454.64,745.464
2018-07-22 12:00:00,BTCUSDT,LONG,100,Binance,7439.99,743.999
2018-07-22 21:00:00,BTCUSDT,SHORT,100,Binance,7371.01,737.1010000000001
2018-07-23 00:00:00,BTCUSDT,LONG,100,Binance,7469.78,746.9780000000001
2018-07-26 22:00:00,BTCUSDT,SHORT,100,Binance,7915.0,791.5
2018-07-27 21:00:00,BTCUSDT,LONG,100,Binance,8257.05,825.7049999999999
2018-07-27 23:00:00,BTCUSDT,SHORT,100,Binance,8188.57,818.857
2018-07-29 09:00:00,BTCUSDT,LONG,100,Binance,8157.98,815.798
2018-07-30 03:00:00,BTCUSDT,SHORT,100,Binance,8192.11,819.2110000000001
2018-08-07 12:00:00,BTCUSDT,LONG,100,Binance,7123.66,712.366
2018-08-07 20:00:00,BTCUSDT,SHORT,100,Binance,6875.01,687.5010000000001
