,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
25,-8.65%,1.39%,9.65%,4 days 06:09:41,39.23%,19.382999377162864,2608,-0.14525152170978428,-0.02570978000000035,55%,31,-44.90%,20 days 17:00:00,2.8,12
26,-15.00%,4.10%,16.83%,11 days 01:48:00,45.19%,5.837071890384788,2608,0.9214493240324242,0.07869344999999939,60%,10,-44.90%,20 days 17:00:00,3.0,12
27,-2.00%,0.27%,4.13%,0 days 10:47:51,32.52%,32.71349023528983,3754,0.6611670101545459,0.1537494399999988,37%,311,-11.52%,0 days 14:00:00,1.0,14
28,-2.18%,0.26%,4.12%,0 days 11:26:18,32.52%,35.450024303867416,3754,0.5302807672674655,0.06317684999999784,39%,292,-11.52%,0 days 14:00:00,1.2,14
29,-2.55%,0.12%,4.29%,0 days 12:47:54,27.41%,35.65045057034427,3098,0.7192479102350265,0.1997779399999986,39%,258,-11.52%,0 days 14:00:00,1.5,14
30,-2.81%,0.40%,4.66%,0 days 14:55:39,33.16%,39.20973569521292,3831,0.5231895913228538,0.06724555999999948,43%,221,-11.52%,0 days 14:00:00,1.8,14
31,-3.11%,0.39%,4.72%,0 days 17:01:54,33.16%,46.00037991434668,4158,0.5277802215700914,0.060843680000000955,45%,190,-12.24%,0 days 09:00:00,2.0,14
32,-3.54%,0.71%,6.31%,0 days 21:11:38,33.16%,59.78323799299683,2549,0.5804708432403686,0.11290222000000116,43%,160,-12.24%,0 days 09:00:00,2.2,14
33,-4.53%,0.84%,6.67%,1 days 14:44:05,39.23%,30.583510570589567,1949,0.7858810721777323,0.2694877300000009,48%,98,-16.34%,4 days 10:00:00,2.5,14
34,-8.50%,1.02%,8.26%,3 days 06:45:00,61.62%,13.318807134525903,1754,1.8235408523747318,0.5670748999999993,57%,44,-29.05%,17 days 00:00:00,2.8,14
