,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
124,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,2.8,120
125,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,3.0,120
126,-0.33%,0.04%,0.40%,0 days 00:25:30,0.40%,0.875295607690222,124,0.16347829987895635,0.0017840000000000078,50%,2,-0.33%,0 days 00:20:00,1.0,252
127,-0.52%,-0.14%,0.23%,0 days 00:26:00,0.23%,0.8782502506875092,128,-0.14171843680025323,-0.0016159999999997288,50%,2,-0.52%,0 days 00:24:00,1.2,252
128,-0.52%,-0.19%,0.14%,0 days 00:25:00,0.14%,0.879018234212717,128,-0.22286608979854428,-0.0024959999999984994,50%,2,-0.52%,0 days 00:24:00,1.5,252
129,-0.67%,-0.67%,nan%,0 days 00:30:00,-0.67%,0.9517322961662253,199,-0.5314485092837088,-0.0052840000000002885,0%,1,-0.67%,0 days 00:30:00,1.8,252
130,-0.94%,-0.94%,nan%,0 days 00:33:00,-0.94%,1.218399999999964,199,-1.4770735165628248,-0.01218399999999964,0%,1,-0.94%,0 days 00:33:00,2.0,252
131,N/A,N/A,N/A,0,N/A,0.8821001282365792,50,-0.8905384190255371,-0.006011999999999573,N/A,0,N/A,0,2.2,252
132,N/A,N/A,N/A,0,N/A,0.8821001282365792,50,-0.8905384190255371,-0.006011999999999573,N/A,0,N/A,0,2.5,252
133,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,2.8,252
134,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,3.0,252
