BOLLStrategy_84_1.0,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-07-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-02-25 09:00:00,ETHUSD,CLOSE,100,ARCA,839.6,83.96000000000001
2018-02-26 10:00:00,ETHUSD,LONG,100,ARCA,856.12,85.61200000000001
2018-02-26 14:00:00,ETHUSD,CLOSE,100,ARCA,834.62,83.462
2018-02-26 18:00:00,ETHUSD,LONG,100,ARCA,857.99,85.799
2018-02-28 20:00:00,ETHUSD,CLOSE,100,ARCA,858.99,85.899
2018-03-02 02:00:00,ETHUSD,LONG,100,ARCA,880.16,88.016
2018-03-02 06:00:00,ETHUSD,CLOSE,100,ARCA,869.99,86.99900000000001
2018-03-06 19:00:00,ETHUSD,SHORT,100,ARCA,832.47,83.24700000000001
2018-03-11 20:00:00,ETHUSD,CLOSE,100,ARCA,711.3,71.13
2018-03-12 14:00:00,ETHUSD,LONG,100,ARCA,727.25,72.72500000000001
2018-03-12 22:00:00,ETHUSD,CLOSE,100,ARCA,699.34,69.93400000000001
2018-03-13 03:00:00,ETHUSD,SHORT,100,ARCA,683.65,68.365
2018-03-20 07:00:00,ETHUSD,CLOSE,100,ARCA,554.99,55.499
2018-03-21 05:00:00,ETHUSD,LONG,100,ARCA,562.47,56.24700000000001
2018-03-22 17:00:00,ETHUSD,CLOSE,100,ARCA,546.55,54.655
2018-03-22 21:00:00,ETHUSD,SHORT,100,ARCA,528.5,52.85
2018-03-26 05:00:00,ETHUSD,CLOSE,100,ARCA,531.79,53.179
2018-03-26 08:00:00,ETHUSD,SHORT,100,ARCA,517.09,51.709
