,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
14,-1.15%,-0.06%,1.21%,0 days 01:18:47.000000000,6.41%,18.505055982036957,6535,-2.341124615853242,-0.17670463000000047,46%,294,-13.09%,0 days 15:00:00.000000000,70,20,10
15,-1.42%,-0.10%,1.29%,0 days 01:45:39.000000000,7.19%,52.732544559188845,3477,0.22595789037332079,-0.03538767999999992,49%,301,-12.51%,1 days 02:00:00.000000000,90,30,10
16,-1.32%,-0.03%,1.38%,0 days 01:50:29.000000000,7.19%,16.72428284152725,6516,-1.8775634441599713,-0.1473283899999992,48%,271,-12.51%,1 days 02:00:00.000000000,80,30,10
17,-1.32%,-0.08%,1.29%,0 days 01:59:28.000000000,7.19%,16.054231728069084,6535,-1.8290267160818576,-0.13976929999999965,48%,227,-12.51%,1 days 02:00:00.000000000,70,30,10
18,-1.26%,0.00%,1.25%,0 days 01:01:37.000000000,7.08%,20.283176559404122,6572,-3.285408220969386,-0.1991737199999991,50%,409,-8.93%,0 days 01:00:00.000000000,90,10,12
19,-1.15%,0.00%,1.24%,0 days 01:01:46.000000000,6.44%,18.448465680684297,6572,-2.510336153089525,-0.18074241999999818,48%,372,-8.93%,0 days 01:00:00.000000000,80,10,12
20,-1.17%,-0.08%,1.19%,0 days 01:02:11.000000000,6.44%,52.906696051770716,3514,0.22956923103566712,-0.041929820000000007,46%,330,-7.97%,0 days 01:00:00.000000000,70,10,12
21,-1.15%,0.04%,1.22%,0 days 01:17:50.000000000,7.08%,51.023016967113875,2000,0.3738643196885745,0.03120296999999983,50%,360,-12.16%,0 days 17:00:00.000000000,90,20,12
22,-1.15%,-0.05%,1.09%,0 days 01:19:38.000000000,6.41%,18.851181433973434,6568,-2.5528940687634574,-0.18519044999999978,49%,324,-12.16%,0 days 17:00:00.000000000,80,20,12
23,-1.17%,-0.19%,0.98%,0 days 01:22:28.000000000,6.41%,53.61594957476342,3518,0.16487422817640318,-0.06813449999999965,46%,283,-12.16%,0 days 17:00:00.000000000,70,20,12
24,-1.36%,-0.06%,1.41%,0 days 01:47:07.000000000,7.19%,21.014587475336075,6531,-2.4055750578362387,-0.18830798000000037,47%,298,-11.90%,1 days 01:00:00.000000000,90,30,12
25,-1.27%,0.02%,1.36%,0 days 01:53:35.000000000,7.19%,13.826321288394139,6516,-1.6195621179619655,-0.117655759999998,49%,262,-11.90%,1 days 01:00:00.000000000,80,30,12
26,-1.32%,-0.08%,1.26%,0 days 02:04:42.000000000,7.19%,51.01876547156656,2000,0.36533046177474504,0.03137414000000094,48%,217,-11.90%,1 days 01:00:00.000000000,70,30,12
27,-1.23%,-0.04%,1.21%,0 days 01:04:53.000000000,6.44%,23.667198957424134,6572,-3.5281990366666696,-0.23316922999999956,49%,393,-11.03%,0 days 10:00:00.000000000,90,10,26
28,-1.28%,-0.04%,1.19%,0 days 01:05:25.000000000,6.44%,20.760011459415065,6572,-3.419300896407624,-0.20396395000000023,50%,354,-11.03%,0 days 10:00:00.000000000,80,10,26
29,-1.21%,0.03%,1.23%,0 days 01:06:17.000000000,6.44%,12.820477393337399,6572,-1.9650580563343722,-0.1206530699999997,51%,296,-11.03%,0 days 10:00:00.000000000,70,10,26
30,-1.18%,0.12%,1.38%,0 days 01:25:38.000000000,6.44%,49.533880770349086,2000,0.504395447958535,0.09295453000000209,51%,337,-12.51%,1 days 02:00:00.000000000,90,20,26
31,-1.26%,0.05%,1.33%,0 days 01:29:11.000000000,6.44%,13.283185687235147,6535,-1.6576400405898137,-0.11215533999999927,51%,296,-11.90%,1 days 01:00:00.000000000,80,20,26
32,-1.32%,0.03%,1.36%,0 days 01:36:15.000000000,6.44%,11.87054502330221,6502,-1.3628600713134442,-0.09592923000000009,50%,240,-12.51%,1 days 02:00:00.000000000,70,20,26
33,-1.32%,0.01%,1.39%,0 days 01:57:10.000000000,8.89%,51.04141955311965,2000,0.36480381849652166,0.030462390000001838,49%,276,-13.63%,1 days 15:00:00.000000000,90,30,26
34,-1.39%,-0.05%,1.38%,0 days 02:07:07.000000000,8.89%,51.12017445039384,2000,0.35692685983312594,0.02729906000000093,48%,236,-13.63%,1 days 15:00:00.000000000,80,30,26
35,-1.52%,-0.12%,1.34%,0 days 02:26:03.000000000,6.60%,50.90126739371903,2000,0.37589749623026447,0.036116060000000116,49%,182,-13.63%,1 days 15:00:00.000000000,70,30,26
36,-1.29%,-0.02%,1.18%,0 days 01:05:12.000000000,6.44%,53.14499294807702,3514,0.21167597378079214,-0.050812159999999995,51%,392,-13.09%,0 days 15:00:00.000000000,90,10,30
37,-1.23%,-0.02%,1.18%,0 days 01:06:03.000000000,6.44%,52.18615213004524,3492,0.2869140727829807,-0.014578610000000158,50%,347,-13.09%,0 days 15:00:00.000000000,80,10,30
