BOLLStrategy_26_1.8,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-05-14 11:00:00,ETHUSD,CLOSE,100,ARCA,694.94,69.49400000000001
2018-05-15 22:00:00,ETHUSD,SHORT,100,ARCA,711.72,71.17200000000001
2018-05-16 19:00:00,ETHUSD,CLOSE,100,ARCA,705.13,70.513
2018-05-17 08:00:00,ETHUSD,LONG,100,ARCA,710.53,71.053
2018-05-17 15:00:00,ETHUSD,CLOSE,100,ARCA,698.0,69.8
2018-05-18 02:00:00,ETHUSD,SHORT,100,ARCA,680.49,68.049
2018-05-19 00:00:00,ETHUSD,CLOSE,100,ARCA,679.81,67.981
2018-05-19 03:00:00,ETHUSD,LONG,100,ARCA,689.48,68.94800000000001
2018-05-20 05:00:00,ETHUSD,CLOSE,100,ARCA,690.03,69.003
2018-05-21 00:00:00,ETHUSD,LONG,100,ARCA,719.32,71.932
2018-05-21 09:00:00,ETHUSD,CLOSE,100,ARCA,705.84,70.584
2018-05-21 22:00:00,ETHUSD,SHORT,100,ARCA,699.25,69.925
2018-05-24 12:00:00,ETHUSD,CLOSE,100,ARCA,608.5,60.85
2018-05-24 17:00:00,ETHUSD,SHORT,100,ARCA,563.43,56.342999999999996
2018-05-24 23:00:00,ETHUSD,CLOSE,100,ARCA,592.88,59.288000000000004
2018-05-26 02:00:00,ETHUSD,SHORT,100,ARCA,581.15,58.115
2018-05-26 15:00:00,ETHUSD,CLOSE,100,ARCA,599.01,59.901
2018-05-27 16:00:00,ETHUSD,SHORT,100,ARCA,574.0,57.400000000000006
2018-05-29 18:00:00,ETHUSD,CLOSE,100,ARCA,531.5,53.150000000000006
2018-05-29 19:00:00,ETHUSD,LONG,100,ARCA,552.0,55.2
2018-05-30 22:00:00,ETHUSD,CLOSE,100,ARCA,554.02,55.402
2018-05-30 22:00:00,ETHUSD,SHORT,100,ARCA,554.02,55.402
2018-05-31 11:00:00,ETHUSD,CLOSE,100,ARCA,562.25,56.225
2018-06-01 16:00:00,ETHUSD,LONG,100,ARCA,588.04,58.804
2018-06-01 19:00:00,ETHUSD,CLOSE,100,ARCA,569.93,56.992999999999995
2018-06-02 01:00:00,ETHUSD,SHORT,100,ARCA,567.32,56.732000000000006
2018-06-02 06:00:00,ETHUSD,CLOSE,100,ARCA,579.0,57.900000000000006
2018-06-02 16:00:00,ETHUSD,LONG,100,ARCA,594.95,59.495000000000005
2018-06-04 13:00:00,ETHUSD,CLOSE,100,ARCA,615.81,61.580999999999996
2018-06-04 16:00:00,ETHUSD,SHORT,100,ARCA,605.81,60.580999999999996
2018-06-05 16:00:00,ETHUSD,CLOSE,100,ARCA,593.42612598,59.34261259800001
2018-06-05 23:00:00,ETHUSD,LONG,100,ARCA,599.0,59.900000000000006
2018-06-06 17:00:00,ETHUSD,CLOSE,100,ARCA,600.22,60.022000000000006
2018-06-07 00:00:00,ETHUSD,SHORT,100,ARCA,595.5,59.550000000000004
2018-06-07 05:00:00,ETHUSD,CLOSE,100,ARCA,606.86,60.68600000000001
2018-06-07 08:00:00,ETHUSD,LONG,100,ARCA,616.0,61.6
2018-06-07 14:00:00,ETHUSD,CLOSE,100,ARCA,606.18,60.617999999999995
2018-06-08 05:00:00,ETHUSD,SHORT,100,ARCA,601.61,60.161
2018-06-09 06:00:00,ETHUSD,CLOSE,100,ARCA,602.45,60.245000000000005
2018-06-09 10:00:00,ETHUSD,LONG,100,ARCA,609.5,60.95
2018-06-09 20:00:00,ETHUSD,CLOSE,100,ARCA,601.04,60.104
2018-06-10 07:00:00,ETHUSD,SHORT,100,ARCA,593.2,59.32000000000001
2018-06-12 06:00:00,ETHUSD,CLOSE,100,ARCA,524.16,52.416
2018-06-13 02:00:00,ETHUSD,SHORT,100,ARCA,506.81,50.681000000000004
2018-06-14 10:00:00,ETHUSD,CLOSE,100,ARCA,487.44,48.744
2018-06-15 00:00:00,ETHUSD,LONG,100,ARCA,504.7,50.47
2018-06-15 17:00:00,ETHUSD,CLOSE,100,ARCA,497.47,49.74700000000001
2018-06-16 23:00:00,ETHUSD,SHORT,100,ARCA,486.17,48.617000000000004
2018-06-17 00:00:00,ETHUSD,CLOSE,100,ARCA,500.03,50.003
2018-06-17 11:00:00,ETHUSD,LONG,100,ARCA,507.71,50.771
2018-06-17 20:00:00,ETHUSD,CLOSE,100,ARCA,495.45,49.545
2018-06-18 08:00:00,ETHUSD,SHORT,100,ARCA,489.21,48.921
2018-06-18 22:00:00,ETHUSD,CLOSE,100,ARCA,497.0,49.7
2018-06-19 00:00:00,ETHUSD,LONG,100,ARCA,512.22,51.22200000000001
2018-06-20 09:00:00,ETHUSD,CLOSE,100,ARCA,524.2,52.42000000000001
2018-06-21 10:00:00,ETHUSD,LONG,100,ARCA,543.17,54.317
2018-06-21 17:00:00,ETHUSD,CLOSE,100,ARCA,533.5,53.35
2018-06-21 23:00:00,ETHUSD,SHORT,100,ARCA,528.37,52.837
2018-06-23 18:00:00,ETHUSD,CLOSE,100,ARCA,472.32,47.232
2018-06-24 05:00:00,ETHUSD,LONG,100,ARCA,478.61,47.861000000000004
2018-06-24 09:00:00,ETHUSD,CLOSE,100,ARCA,466.4,46.64
2018-06-24 12:00:00,ETHUSD,SHORT,100,ARCA,448.39,44.839
2018-06-25 04:00:00,ETHUSD,CLOSE,100,ARCA,457.71,45.771
2018-06-26 17:00:00,ETHUSD,SHORT,100,ARCA,445.21,44.521
2018-06-27 18:00:00,ETHUSD,CLOSE,100,ARCA,439.98,43.998000000000005
2018-06-27 22:00:00,ETHUSD,SHORT,100,ARCA,424.26,42.426
2018-06-28 03:00:00,ETHUSD,CLOSE,100,ARCA,436.7,43.67
2018-06-28 07:00:00,ETHUSD,LONG,100,ARCA,441.65,44.165
2018-06-28 11:00:00,ETHUSD,CLOSE,100,ARCA,432.17,43.217000000000006
2018-06-29 05:00:00,ETHUSD,SHORT,100,ARCA,426.48,42.648
2018-06-30 06:00:00,ETHUSD,CLOSE,100,ARCA,434.51,43.451
2018-06-30 07:00:00,ETHUSD,LONG,100,ARCA,435.7,43.57
2018-07-01 05:00:00,ETHUSD,CLOSE,100,ARCA,445.54,44.554
2018-07-02 12:00:00,ETHUSD,SHORT,100,ARCA,446.53,44.653
2018-07-02 15:00:00,ETHUSD,CLOSE,100,ARCA,451.17,45.117000000000004
2018-07-02 21:00:00,ETHUSD,LONG,100,ARCA,472.3,47.230000000000004
2018-07-03 18:00:00,ETHUSD,CLOSE,100,ARCA,469.03,46.903
2018-07-03 22:00:00,ETHUSD,SHORT,100,ARCA,467.33,46.733000000000004
2018-07-04 17:00:00,ETHUSD,CLOSE,100,ARCA,467.33,46.733000000000004
2018-07-04 21:00:00,ETHUSD,LONG,100,ARCA,476.35,47.635000000000005
2018-07-05 06:00:00,ETHUSD,CLOSE,100,ARCA,466.32,46.632000000000005
2018-07-06 02:00:00,ETHUSD,SHORT,100,ARCA,461.52,46.152
2018-07-06 10:00:00,ETHUSD,CLOSE,100,ARCA,469.56,46.956
2018-07-06 14:00:00,ETHUSD,SHORT,100,ARCA,456.18,45.618
2018-07-06 20:00:00,ETHUSD,CLOSE,100,ARCA,470.83,47.083
2018-07-07 21:00:00,ETHUSD,SHORT,100,ARCA,465.12,46.512
2018-07-08 06:00:00,ETHUSD,CLOSE,100,ARCA,468.28,46.828
2018-07-08 07:00:00,ETHUSD,LONG,100,ARCA,486.72,48.672000000000004
2018-07-09 07:00:00,ETHUSD,CLOSE,100,ARCA,486.1,48.61000000000001
2018-07-09 10:00:00,ETHUSD,SHORT,100,ARCA,479.28974566,47.928974566
2018-07-11 16:00:00,ETHUSD,CLOSE,100,ARCA,439.5,43.95
2018-07-12 07:00:00,ETHUSD,LONG,100,ARCA,445.14,44.514
2018-07-12 10:00:00,ETHUSD,CLOSE,100,ARCA,437.99,43.79900000000001
2018-07-12 15:00:00,ETHUSD,SHORT,100,ARCA,432.39,43.239000000000004
2018-07-13 09:00:00,ETHUSD,CLOSE,100,ARCA,433.05,43.30500000000001
2018-07-13 20:00:00,ETHUSD,LONG,100,ARCA,440.91,44.09100000000001
2018-07-14 03:00:00,ETHUSD,CLOSE,100,ARCA,429.62,42.962
2018-07-14 11:00:00,ETHUSD,SHORT,100,ARCA,429.88,42.988
2018-07-14 20:00:00,ETHUSD,CLOSE,100,ARCA,433.7,43.370000000000005
2018-07-15 16:00:00,ETHUSD,LONG,100,ARCA,439.02,43.902
2018-07-17 17:00:00,ETHUSD,CLOSE,100,ARCA,472.33,47.233000000000004
2018-07-17 19:00:00,ETHUSD,SHORT,100,ARCA,466.64,46.664
2018-07-18 01:00:00,ETHUSD,CLOSE,100,ARCA,497.1944745,49.719447450000004
2018-07-18 02:00:00,ETHUSD,LONG,100,ARCA,503.98,50.398
2018-07-18 21:00:00,ETHUSD,CLOSE,100,ARCA,494.37,49.437000000000005
2018-07-19 02:00:00,ETHUSD,SHORT,100,ARCA,489.99,48.999
2018-07-21 12:00:00,ETHUSD,CLOSE,100,ARCA,457.51,45.751000000000005
2018-07-22 23:00:00,ETHUSD,LONG,100,ARCA,468.66,46.86600000000001
