KDJStrategy_26_30_70,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 01:38:00+00:00,ETHUSDT,LONG,1,ARCA,480.14,0.013
2018-07-25 01:39:00+00:00,ETHUSDT,SHORT,1,ARCA,480.01,0.013
2018-07-25 01:40:00+00:00,ETHUSDT,LONG,1,ARCA,480.3,0.013
2018-07-25 01:47:00+00:00,ETHUSDT,SHORT,1,ARCA,480.96,0.013
2018-07-25 01:48:00+00:00,ETHUSDT,LONG,1,ARCA,480.9,0.013
2018-07-25 01:49:00+00:00,ETHUSDT,SHORT,1,ARCA,481.11,0.013
2018-07-25 02:05:00+00:00,ETHUSDT,LONG,1,ARCA,481.76,0.013
2018-07-25 02:06:00+00:00,ETHUSDT,SHORT,1,ARCA,481.46,0.013
2018-07-25 02:07:00+00:00,ETHUSDT,LONG,1,ARCA,481.11,0.013
2018-07-25 02:08:00+00:00,ETHUSDT,SHORT,1,ARCA,481.24,0.013
2018-07-25 02:09:00+00:00,ETHUSDT,LONG,1,ARCA,480.49,0.013
2018-07-25 02:10:00+00:00,ETHUSDT,SHORT,1,ARCA,479.79,0.013
2018-07-25 02:11:00+00:00,ETHUSDT,LONG,1,ARCA,480.19,0.013
2018-07-25 02:12:00+00:00,ETHUSDT,SHORT,1,ARCA,480.0,0.013
2018-07-25 02:13:00+00:00,ETHUSDT,LONG,1,ARCA,479.68,0.013
2018-07-25 02:29:00+00:00,ETHUSDT,SHORT,1,ARCA,478.56,0.013
2018-07-25 02:30:00+00:00,ETHUSDT,LONG,1,ARCA,478.42,0.013
2018-07-25 02:31:00+00:00,ETHUSDT,SHORT,1,ARCA,478.59,0.013
2018-07-25 02:32:00+00:00,ETHUSDT,LONG,1,ARCA,478.24,0.013
2018-07-25 02:33:00+00:00,ETHUSDT,SHORT,1,ARCA,478.6,0.013
2018-07-25 02:34:00+00:00,ETHUSDT,LONG,1,ARCA,478.21,0.013
2018-07-25 02:35:00+00:00,ETHUSDT,SHORT,1,ARCA,478.71,0.013
2018-07-25 02:36:00+00:00,ETHUSDT,LONG,1,ARCA,478.78,0.013
2018-07-25 02:37:00+00:00,ETHUSDT,SHORT,1,ARCA,478.51,0.013
2018-07-25 02:38:00+00:00,ETHUSDT,LONG,1,ARCA,478.32,0.013
2018-07-25 02:39:00+00:00,ETHUSDT,SHORT,1,ARCA,478.21,0.013
