KDJStrategy_25_30_72,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-06-12 00:00:00,BTCUSDT,LONG,0.0001505172088943022,Binance,6842.0,0.001030869612867683
2018-06-12 18:00:00,BTCUSDT,SHORT,0.0001505172088943022,Binance,6671.31,0.0010041469608686473
2018-06-14 08:00:00,BTCUSDT,LONG,0.0001545317079069841,Binance,6485.01,0.0010031428139077787
2018-06-15 22:00:00,BTCUSDT,SHORT,0.0001545317079069841,Binance,6403.74,0.0009895808791922703
2018-06-16 21:00:00,BTCUSDT,LONG,0.00015147280782435045,Binance,6520.0,0.000988591298313078
2018-06-18 00:00:00,BTCUSDT,SHORT,0.00015147280782435045,Binance,6400.15,0.0009694486909970165
2018-06-18 20:00:00,BTCUSDT,LONG,0.00014397374469888073,Binance,6720.05,0.0009684792423060195
2018-06-20 01:00:00,BTCUSDT,SHORT,0.00014397374469888073,Binance,6618.99,0.0009529607764244446
2018-06-20 18:00:00,BTCUSDT,LONG,0.00014074077807360298,Binance,6757.5,0.0009520078156480201
2018-06-22 06:00:00,BTCUSDT,SHORT,0.00014074077807360298,Binance,6630.0,0.0009331113586279878
2018-06-23 21:00:00,BTCUSDT,LONG,0.00014989586825237832,Binance,6212.62,0.0009321782472693599
2018-06-24 04:00:00,BTCUSDT,SHORT,0.00014989586825237832,Binance,5877.68,0.000881039946909639
2018-06-24 20:00:00,BTCUSDT,LONG,0.0001422203519372822,Binance,6182.51,0.0008801589069627292
2018-06-27 03:00:00,BTCUSDT,SHORT,0.0001422203519372822,Binance,6031.8,0.0008578447188152988
2018-06-30 01:00:00,BTCUSDT,LONG,0.00013359766165008447,Binance,6408.27,0.0008569868740964834
2018-07-01 14:00:00,BTCUSDT,SHORT,0.00013359766165008447,Binance,6285.38,0.000839712070582208
2018-07-02 15:00:00,BTCUSDT,LONG,0.00012639869898298575,Binance,6630.08,0.0008388723585116259
2018-07-04 00:00:00,BTCUSDT,SHORT,0.00012639869898298575,Binance,6481.69,0.0008192771832110289
2018-07-07 04:00:00,BTCUSDT,LONG,0.00012382866672852602,Binance,6602.99,0.0008184579060278178
2018-07-07 20:00:00,BTCUSDT,SHORT,0.00012382866672852602,Binance,6525.36,0.0008080266287236545
2018-07-08 15:00:00,BTCUSDT,LONG,0.00011962909917368016,Binance,6740.93,0.0008072186020949308
2018-07-10 02:00:00,BTCUSDT,SHORT,0.00011962909917368016,Binance,6623.06,0.0007923107015732341
2018-07-13 08:00:00,BTCUSDT,LONG,0.00012672473644342842,Binance,6239.72,0.0007915183908716608
2018-07-19 07:00:00,BTCUSDT,SHORT,0.00012672473644342842,Binance,7316.66,0.000927201810146175
2018-07-21 20:00:00,BTCUSDT,LONG,0.0001247451551350303,Binance,7417.91,0.0009262746083360287
2018-07-25 19:00:00,BTCUSDT,SHORT,0.0001247451551350303,Binance,8242.69,0.0010282356427799631
2018-07-27 19:00:00,BTCUSDT,LONG,0.00012481468999821766,Binance,8221.63,0.0010272074071371834
2018-07-30 17:00:00,BTCUSDT,SHORT,0.00012481468999821766,Binance,7910.56,0.0009873540941123008
2018-07-31 07:00:00,BTCUSDT,LONG,0.00012125117030236739,Binance,8126.77,0.0009863667400181885
2018-07-31 13:00:00,BTCUSDT,SHORT,0.00012125117030236739,Binance,7730.0,0.0009372715464373
2018-08-02 05:00:00,BTCUSDT,LONG,0.00012216309613945637,Binance,7656.96,0.0009363342748908626
2018-08-03 00:00:00,BTCUSDT,SHORT,0.00012216309613945637,Binance,7385.16,0.0009021940110852676
2018-08-06 01:00:00,BTCUSDT,LONG,0.00012642063599306786,Binance,7122.18,0.0009012918170741823
2018-08-06 18:00:00,BTCUSDT,SHORT,0.00012642063599306786,Binance,6923.88,0.0008753213131396828
2018-08-07 11:00:00,BTCUSDT,LONG,0.00012324672380106583,Binance,7087.99,0.000874445991826543
2018-08-07 23:00:00,BTCUSDT,SHORT,0.00012324672380106583,Binance,6720.06,0.0008282253787465905
