,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
71,-2.85%,1.24%,6.47%,1 days 03:08:11.000000000,20.50%,54.92508309774568,1490,2.8839742281679253,5.688884190000005,44%,66,-11.53%,0 days 07:00:00.000000000,252,5,12
94,-5.22%,2.55%,8.49%,2 days 11:24:00.000000000,21.96%,43.291581781742195,2276,3.4362884073550704,5.68232317,57%,30,-17.72%,2 days 14:00:00.000000000,120,45,12
211,-8.02%,2.01%,9.68%,2 days 15:48:00.000000000,24.69%,76.93924552409453,2276,2.9373365307705637,5.631501799999998,57%,30,-31.71%,4 days 03:00:00.000000000,45,26,45
120,-3.58%,1.04%,5.09%,0 days 20:02:37.000000000,22.78%,68.32937828244846,2509,2.8903632530102104,5.618574450000003,53%,92,-10.63%,0 days 11:00:00.000000000,5,252,12
253,-7.15%,5.17%,14.41%,5 days 02:38:34.000000000,28.44%,60.82354750072254,2735,3.15174924056922,5.52756047,57%,14,-12.00%,4 days 06:00:00.000000000,96,252,45
274,-6.73%,3.06%,13.74%,3 days 07:52:10.000000000,22.07%,69.40262164457123,2276,3.014701823236675,5.524088730000002,48%,23,-26.84%,3 days 09:00:00.000000000,26,26,60
224,-6.78%,2.21%,9.09%,2 days 13:44:00.000000000,23.18%,60.421024399322064,2276,3.1209788426461347,5.485111110000005,57%,30,-30.94%,3 days 17:00:00.000000000,5,60,45
336,-8.24%,2.27%,7.28%,2 days 08:50:19.000000000,28.82%,72.09610329480921,2276,3.236792457663214,5.3457445300000055,68%,31,-18.17%,4 days 07:00:00.000000000,5,26,96
80,-4.58%,1.11%,6.25%,1 days 00:17:15.000000000,34.40%,93.50271228977927,2509,2.4372017112818574,5.324572240000003,52%,80,-14.75%,1 days 02:00:00.000000000,5,26,12
276,-5.55%,3.87%,11.42%,4 days 05:56:40.000000000,17.94%,82.09533462756363,2017,2.9976787293085114,5.252824329999996,56%,18,-11.61%,4 days 21:00:00.000000000,60,26,60
212,-6.78%,2.27%,10.71%,2 days 16:45:31.000000000,23.10%,60.11048516778209,2276,3.1066098857149433,5.237118299999999,52%,29,-25.43%,3 days 20:00:00.000000000,60,26,45
312,-6.19%,4.21%,25.01%,4 days 01:16:40.000000000,32.96%,69.08465085721876,2735,2.693301572754668,5.206800249999995,33%,18,-11.56%,0 days 16:00:00.000000000,5,252,60
280,-4.40%,1.92%,7.13%,2 days 10:44:31.000000000,17.75%,76.34349611326085,1686,2.7080252520974746,5.102970849999998,55%,31,-11.38%,4 days 02:00:00.000000000,5,45,60
52,-4.94%,1.64%,8.87%,1 days 18:20:00.000000000,28.41%,66.78606844719212,2509,2.6306261697866535,4.992592329999999,48%,42,-21.05%,2 days 01:00:00.000000000,60,120,5
318,-12.17%,5.26%,19.79%,6 days 13:32:44.000000000,41.32%,52.03168460109144,2017,3.055684436401921,4.986766810000002,55%,11,-21.23%,6 days 05:00:00.000000000,120,252,60
142,-3.97%,2.01%,10.98%,2 days 03:01:43.000000000,33.88%,54.28585893163581,2276,3.4118491288249015,4.976083000000004,40%,35,-19.38%,0 days 10:00:00.000000000,120,12,26
221,-6.22%,3.97%,14.17%,4 days 04:13:20.000000000,20.71%,90.03493454767856,2017,3.124549847825594,4.9603563399999935,50%,18,-14.49%,3 days 12:00:00.000000000,96,45,45
248,-4.79%,3.36%,15.13%,3 days 09:46:22.000000000,34.89%,63.75835711694169,2735,2.984887672371865,4.958080319999998,41%,22,-9.31%,0 days 04:00:00.000000000,5,252,45
