ADX_BOLLStrategy_26_72_0.85684,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-05-04 22:00:00,BTCUSDT,LONG,0.00010719419205150162,Binance,9755.77,0.00104680869168196
2018-05-05 00:00:00,BTCUSDT,SHORT,0.00010719419205150162,Binance,9770.01,0.0010472883282850913
2018-05-05 02:00:00,BTCUSDT,LONG,0.00010621909157599242,Binance,9839.99,0.0010462410399568064
2018-05-06 05:00:00,BTCUSDT,SHORT,0.00010621909157599242,Binance,9751.15,0.0010357582948212385
2018-05-10 07:00:00,BTCUSDT,LONG,0.0001103306451051223,Binance,9369.0,0.0010347225365264173
2018-05-10 17:00:00,BTCUSDT,SHORT,0.0001103306451051223,Binance,9157.55,0.0010103583990824126
2018-05-13 22:00:00,BTCUSDT,LONG,0.00011540753246379237,Binance,8737.2,0.0010093480406833302
2018-05-14 03:00:00,BTCUSDT,SHORT,0.00011540753246379237,Binance,8390.0,0.000968269197371218
2018-05-14 13:00:00,BTCUSDT,LONG,0.00011132875889927106,Binance,8680.0,0.0009673009281738467
2018-05-14 22:00:00,BTCUSDT,SHORT,0.00011132875889927106,Binance,8601.01,0.0009575397685802194
2018-05-15 00:00:00,BTCUSDT,LONG,0.00010991796017511263,Binance,8693.99,0.0009565822288116391
2018-05-15 15:00:00,BTCUSDT,SHORT,0.00010991796017511263,Binance,8517.01,0.0009361723659910361
2018-05-19 11:00:00,BTCUSDT,LONG,0.00011167726789983122,Binance,8366.08,0.000935236193625045
2018-05-19 21:00:00,BTCUSDT,SHORT,0.00011167726789983122,Binance,8189.0,0.0009145251468317178
2018-05-20 09:00:00,BTCUSDT,LONG,0.00010917428362000013,Binance,8360.0,0.0009136106216848861
2018-05-20 13:00:00,BTCUSDT,SHORT,0.00010917428362000013,Binance,8331.94,0.000909633580664824
2018-05-20 15:00:00,BTCUSDT,LONG,0.00010821495090440755,Binance,8389.0,0.0009087239470841592
2018-05-21 18:00:00,BTCUSDT,SHORT,0.00010821495090440755,Binance,8341.0,0.0009026209054936634
2018-05-29 11:00:00,BTCUSDT,LONG,0.00012163975233688805,Binance,7405.61,0.0009017182845881697
2018-05-30 14:00:00,BTCUSDT,SHORT,0.00012163975233688805,Binance,7374.45,0.0008970262716207641
2018-05-31 06:00:00,BTCUSDT,LONG,0.0001183228587954822,Binance,7566.02,0.0008961292453491433
2018-05-31 13:00:00,BTCUSDT,SHORT,0.0001183228587954822,Binance,7537.75,0.0008918881288856459
2018-05-31 14:00:00,BTCUSDT,LONG,0.00011787225277774883,Binance,7551.44,0.0008909962407567604
2018-06-01 11:00:00,BTCUSDT,SHORT,0.00011787225277774883,Binance,7361.39,0.0008677036228755925
2018-06-02 06:00:00,BTCUSDT,LONG,0.00011325927403359503,Binance,7645.9,0.000866835919252717
2018-06-04 06:00:00,BTCUSDT,SHORT,0.00011325927403359503,Binance,7578.76,0.0008583648556748487
2018-06-06 21:00:00,BTCUSDT,LONG,0.00011176126574572892,Binance,7664.99,0.0008575064908191739
2018-06-07 22:00:00,BTCUSDT,SHORT,0.00011176126574572892,Binance,7659.39,0.0008560231212401786
