BOLL_RSIStrategy_30_0.1_7_76_45,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-19 10:00:00,BTCUSDT,CLOSE,0.0001266829146719292,Binance,8240.63,0.00104394702713294
2018-04-20 07:00:00,BTCUSDT,LONG,0.0001252240304983914,Binance,8319.97,0.001042903080105807
2018-04-20 11:00:00,BTCUSDT,CLOSE,0.0001252240304983914,Binance,8515.01,0.0010662838719341077
2018-04-21 08:00:00,BTCUSDT,LONG,0.00012106301434165046,Binance,8790.07,0.0010652175880621734
2018-04-21 23:00:00,BTCUSDT,CLOSE,0.00012106301434165046,Binance,8915.31,0.0010793143023902596
2018-04-22 06:00:00,BTCUSDT,LONG,0.00012120493628381251,Binance,8887.07,0.0010782349880878695
2018-04-22 10:00:00,BTCUSDT,CLOSE,0.00012120493628381251,Binance,8942.0,0.0010838145402498516
2018-04-22 21:00:00,BTCUSDT,LONG,0.00012126071409973208,Binance,8920.02,0.0010827307257096016
2018-04-22 22:00:00,BTCUSDT,CLOSE,0.00012126071409973208,Binance,8848.0,0.0010729147983544293
2018-04-23 14:00:00,BTCUSDT,LONG,0.00012005494356682576,Binance,8919.0,0.0010718418835560751
2018-04-23 17:00:00,BTCUSDT,CLOSE,0.00012005494356682576,Binance,8886.0,0.0010668082285348137
2018-04-25 03:00:00,BTCUSDT,LONG,0.00011389354063129856,Binance,9347.99,0.001065741420306279
2018-04-25 04:00:00,BTCUSDT,CLOSE,0.00011389354063129856,Binance,9200.0,0.0010478205738079468
2018-04-25 05:00:00,BTCUSDT,LONG,0.00011160362651877316,Binance,9370.0,0.0010467727532341388
2018-04-25 08:00:00,BTCUSDT,CLOSE,0.00011160362651877316,Binance,9281.98,0.001035902629274722
2018-04-27 05:00:00,BTCUSDT,LONG,0.0001126077910163582,Binance,9180.82,0.0010348667266454473
2018-04-27 10:00:00,BTCUSDT,CLOSE,0.0001126077910163582,Binance,9365.0,0.0010545719628681945
2018-04-27 16:00:00,BTCUSDT,LONG,0.00011338639677599042,Binance,9282.1,0.0010535173909053262
2018-04-27 19:00:00,BTCUSDT,CLOSE,0.00011338639677599042,Binance,9089.0,0.001030568960296977
2018-04-28 20:00:00,BTCUSDT,LONG,0.00011021808235532927,Binance,9331.58,0.00102953839133668
2018-04-29 08:00:00,BTCUSDT,CLOSE,0.00011021808235532927,Binance,9285.47,0.001023426697167939
2018-05-02 13:00:00,BTCUSDT,LONG,0.00011208052602242752,Binance,9112.92,0.001022403270470771
2018-05-02 21:00:00,BTCUSDT,CLOSE,0.00011208052602242752,Binance,9225.96,0.0010340504498618753
2018-05-03 05:00:00,BTCUSDT,LONG,0.00011205250298188252,Binance,9209.82,0.0010330163994120133
2018-05-03 13:00:00,BTCUSDT,CLOSE,0.00011205250298188252,Binance,9471.05,0.0010612548583665584
2018-05-04 00:00:00,BTCUSDT,LONG,0.00011033789039532072,Binance,9599.0,0.0010601936035081918
2018-05-04 08:00:00,BTCUSDT,CLOSE,0.00011033789039532072,Binance,9798.5,0.0010811458190385502
2018-05-04 16:00:00,BTCUSDT,LONG,0.00011149990787912496,Binance,9677.0,0.0010800646732195115
2018-05-04 22:00:00,BTCUSDT,CLOSE,0.00011149990787912496,Binance,9755.77,0.0010877674562899309
2018-05-05 17:00:00,BTCUSDT,LONG,0.00010963371128507447,Binance,9902.0,0.001086679688833641
2018-05-05 20:00:00,BTCUSDT,CLOSE,0.00010963371128507447,Binance,9780.52,0.0010722747058978966
2018-05-05 22:00:00,BTCUSDT,LONG,0.00010873394631038886,Binance,9841.74,0.0010712024311919986
2018-05-06 04:00:00,BTCUSDT,CLOSE,0.00010873394631038886,Binance,9853.03,0.0010713588350146509
2018-05-08 07:00:00,BTCUSDT,LONG,0.0001141106924977008,Binance,9370.0,0.0010702874761796361
2018-05-08 09:00:00,BTCUSDT,CLOSE,0.0001141106924977008,Binance,9310.0,0.0010623705471535945
