MACD_RSIStrategy_41_113_2_74_36,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-12-08 21:00:00,BTCUSDT,SHORT,0.00012131552123908882,Binance,15581.02,0.0018902195627366679
2017-12-09 01:00:00,BTCUSDT,LONG,0.00012208393824946655,Binance,15452.0,0.0018883293431739313
2017-12-09 07:00:00,BTCUSDT,SHORT,0.00012208393824946655,Binance,15340.01,0.0018727688335861993
2017-12-09 09:00:00,BTCUSDT,LONG,0.0001254382675314471,Binance,14899.96,0.001870896064752613
2017-12-09 12:00:00,BTCUSDT,SHORT,0.0001254382675314471,Binance,14658.98,0.0018387970549781324
2017-12-09 15:00:00,BTCUSDT,LONG,0.0001273904999809261,Binance,14405.48,0.0018369582579231547
2017-12-09 19:00:00,BTCUSDT,SHORT,0.0001273904999809261,Binance,13908.0,0.0017717470737347203
2017-12-10 00:00:00,BTCUSDT,LONG,0.00012501496055446494,Binance,14143.95,0.0017699753266609854
2017-12-10 05:00:00,BTCUSDT,SHORT,0.00012501496055446494,Binance,13208.01,0.0016511988491529786
2017-12-10 08:00:00,BTCUSDT,LONG,0.00012393705764057698,Binance,13296.25,0.0016495476503038257
2017-12-10 10:00:00,BTCUSDT,SHORT,0.00012393705764057698,Binance,13600.05,0.0016855501807647288
2017-12-11 17:00:00,BTCUSDT,LONG,0.00010339156520918134,Binance,16270.0,0.0016838646305839641
2017-12-11 18:00:00,BTCUSDT,SHORT,0.00010339156520918134,Binance,16500.0,0.001705960825951492
2017-12-11 22:00:00,BTCUSDT,LONG,0.00010106557107090199,Binance,16846.0,0.0017042548651255405
2017-12-12 01:00:00,BTCUSDT,SHORT,0.00010106557107090199,Binance,16956.0,0.0017136678230782142
2017-12-12 03:00:00,BTCUSDT,LONG,0.00010500013513628934,Binance,16288.0,0.001711954155255136
2017-12-12 05:00:00,BTCUSDT,SHORT,0.00010500013513628934,Binance,16499.5,0.0017324497296812061
2017-12-12 10:00:00,BTCUSDT,LONG,0.00010516949894595945,Binance,16440.0,0.001730717279951525
2017-12-12 18:00:00,BTCUSDT,SHORT,0.00010516949894595945,Binance,16500.0,0.001735296732608331
