MACD_EMVStrategy_16_45_31_113_41,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
2018-06-26 08:00:00,BTCUSDT,LONG,0.00014564261279811515,Binance,6209.99,0.0009053445135637308
2018-06-26 19:00:00,BTCUSDT,SHORT,0.00014564261279811515,Binance,6164.99,0.000897885251474252
2018-06-28 07:00:00,BTCUSDT,LONG,0.00014649779357609103,Binance,6116.75,0.0008969873662227776
2018-06-28 21:00:00,BTCUSDT,SHORT,0.00014649779357609103,Binance,5920.68,0.0008673665564700908
2018-06-30 02:00:00,BTCUSDT,LONG,0.00013538795735873748,Binance,6393.72,0.0008664991899136206
2018-07-01 18:00:00,BTCUSDT,SHORT,0.00013538795735873748,Binance,6324.0,0.0008561934423366559
2018-07-02 13:00:00,BTCUSDT,LONG,0.0001295217086685773,Binance,6597.21,0.0008553372488943192
2018-07-04 03:00:00,BTCUSDT,SHORT,0.0001295217086685773,Binance,6524.01,0.0008450009225708851
2018-07-04 19:00:00,BTCUSDT,LONG,0.0001261862835084274,Binance,6683.07,0.0008441559216483143
2018-07-05 12:00:00,BTCUSDT,SHORT,0.0001261862835084274,Binance,6641.06,0.0008380106799564769
2018-07-08 18:00:00,BTCUSDT,LONG,0.0001238102106308596,Binance,6754.98,0.0008371726692765203
2018-07-09 15:00:00,BTCUSDT,SHORT,0.0001238102106308596,Binance,6726.0,0.0008327474767031616
2018-07-15 06:00:00,BTCUSDT,LONG,0.00013232285701276797,Binance,6280.72,0.0008319147292264586
2018-07-19 11:00:00,BTCUSDT,SHORT,0.00013232285701276797,Binance,7414.49,0.000981106500092598
2018-07-19 20:00:00,BTCUSDT,LONG,0.0001319275635420479,Binance,7421.84,0.0009801253935925055
2018-07-20 23:00:00,BTCUSDT,SHORT,0.0001319275635420479,Binance,7337.53,0.0009680224553166827
2018-07-24 23:00:00,BTCUSDT,LONG,0.00011500574719934011,Binance,8400.34,0.0009670544328613661
2018-07-26 02:00:00,BTCUSDT,SHORT,0.00011500574719934011,Binance,8202.99,0.0009433909942187148
2018-08-07 14:00:00,BTCUSDT,LONG,0.00013272113568935272,Binance,7093.86,0.0009424476032244961
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
-0.5227555797307705,-0.6574252684906786,30.247058267273193,2517,-0.10810600489940825,-0.30598016249396326,-0.27661748514183837
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
27,0.14814814814814814,0.0010532457064363605,0.10268381161358012,-0.01662163532089299,0.1805159281101529,-0.04762860373092149,0 days 06:00:00,1 days 11:57:47
