RSIStrategy_5_70_30,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-11-23 03:00:00,BTCUSDT,LONG,100,Binance,8181.73,818.173
2017-11-23 06:00:00,BTCUSDT,SHORT,100,Binance,8244.96,824.496
2017-11-23 10:00:00,BTCUSDT,LONG,100,Binance,8113.45,811.345
2017-11-23 15:00:00,BTCUSDT,SHORT,100,Binance,8168.12,816.812
2017-11-23 21:00:00,BTCUSDT,LONG,100,Binance,8122.27,812.2270000000001
2017-11-24 05:00:00,BTCUSDT,SHORT,100,Binance,8139.94,813.994
2017-11-24 12:00:00,BTCUSDT,LONG,100,Binance,8120.0,812.0
2017-11-24 19:00:00,BTCUSDT,SHORT,100,Binance,8224.98,822.498
2017-11-25 00:00:00,BTCUSDT,LONG,100,Binance,8131.39,813.1390000000001
2017-11-25 04:00:00,BTCUSDT,SHORT,100,Binance,8197.99,819.799
2017-11-26 23:00:00,BTCUSDT,LONG,100,Binance,9128.02,912.8020000000001
2017-11-27 00:00:00,BTCUSDT,SHORT,100,Binance,9499.99,949.999
2017-11-27 09:00:00,BTCUSDT,LONG,100,Binance,9295.02,929.5020000000001
2017-11-27 14:00:00,BTCUSDT,SHORT,100,Binance,9599.96,959.996
2017-11-27 19:00:00,BTCUSDT,LONG,100,Binance,9499.99,949.999
2017-11-27 21:00:00,BTCUSDT,SHORT,100,Binance,9620.01,962.0010000000001
2017-11-28 10:00:00,BTCUSDT,LONG,100,Binance,9800.03,980.0030000000002
2017-11-28 11:00:00,BTCUSDT,SHORT,100,Binance,9914.98,991.498
2017-11-29 17:00:00,BTCUSDT,LONG,100,Binance,10310.03,1031.0030000000002
2017-11-30 00:00:00,BTCUSDT,SHORT,100,Binance,9915.38,991.538
2017-11-30 06:00:00,BTCUSDT,LONG,100,Binance,10000.01,1000.0010000000001
2017-11-30 18:00:00,BTCUSDT,SHORT,100,Binance,9451.0,945.1
2017-12-02 06:00:00,BTCUSDT,LONG,100,Binance,10856.0,1085.6000000000001
2017-12-02 09:00:00,BTCUSDT,SHORT,100,Binance,11128.23,1112.823
2017-12-02 14:00:00,BTCUSDT,LONG,100,Binance,10853.48,1085.348
2017-12-02 20:00:00,BTCUSDT,SHORT,100,Binance,10928.0,1092.8
2017-12-03 20:00:00,BTCUSDT,LONG,100,Binance,11350.0,1135.0
2017-12-04 02:00:00,BTCUSDT,SHORT,100,Binance,11276.03,1127.603
2017-12-04 09:00:00,BTCUSDT,LONG,100,Binance,11346.81,1134.681
2017-12-04 21:00:00,BTCUSDT,SHORT,100,Binance,11400.03,1140.0030000000002
2017-12-06 15:00:00,BTCUSDT,LONG,100,Binance,12322.4,1232.24
2017-12-06 20:00:00,BTCUSDT,SHORT,100,Binance,13095.0,1309.5
2017-12-08 04:00:00,BTCUSDT,LONG,100,Binance,15600.01,1560.0010000000002
2017-12-08 14:00:00,BTCUSDT,SHORT,100,Binance,15889.54,1588.9540000000002
2017-12-08 19:00:00,BTCUSDT,LONG,100,Binance,15199.96,1519.996
2017-12-08 22:00:00,BTCUSDT,SHORT,100,Binance,15797.99,1579.799
2017-12-09 04:00:00,BTCUSDT,LONG,100,Binance,15328.38,1532.838
2017-12-09 22:00:00,BTCUSDT,SHORT,100,Binance,14616.0,1461.6000000000001
