,open,close,high,low,volume
2017-08-27 06:00:00,334.3,333.88,335.7,331.88,6860.614830860009
2017-08-27 07:00:00,333.82,334.31,334.5,333.33,2123.514444239999
2017-08-27 08:00:00,334.3,333.09,334.7,332.95,2240.962000849999
2017-08-27 09:00:00,333.0,335.11,335.42,332.84,2159.8358322399977
2017-08-27 10:00:00,334.95,335.0,336.0,332.63,1574.222446219999
2017-08-27 11:00:00,334.99,335.9,335.99,334.7,2844.1779487800104
2017-08-27 12:00:00,335.62,334.96,335.62,334.0,2091.59509953
2017-08-27 13:00:00,334.98,334.9,335.99,333.61,12506.29290369999
2017-08-27 14:00:00,334.9,334.86,335.25,334.53,2172.67592325
2017-08-27 15:00:00,334.85,335.19,335.99,334.23,8092.714604160001
2017-08-27 16:00:00,335.19,335.68,335.68,334.48,6335.886029060003
2017-08-27 17:00:00,335.6,340.21,340.49,335.4,10894.053395980029
2017-08-27 18:00:00,339.94,339.59,340.4,336.71,6173.760439859987
2017-08-27 19:00:00,339.59,341.19,341.5,339.02,2829.2887057700004
2017-08-27 20:00:00,340.88,338.4,342.0,338.17,3293.6276045699983
2017-08-27 21:00:00,338.35,340.44,340.85,338.04,1866.2141734900008
2017-08-27 22:00:00,340.35,340.98,340.98,340.01,1795.42643183
2017-08-27 23:00:00,340.9,348.01,348.01,340.75,10069.241898990027
2017-08-28 00:00:00,348.01,346.98,352.0,346.86,17937.02731464003
2017-08-28 01:00:00,346.98,345.98,346.99,344.0,6253.101505660007
2017-08-28 02:00:00,345.83,348.11,350.69,345.22,2867.39792918
2017-08-28 03:00:00,348.11,345.0,348.6,344.61,3520.672619429999
2017-08-28 04:00:00,345.07,339.94,345.15,335.06,13922.340236460055
2017-08-28 05:00:00,339.83,336.96,340.74,332.74,9643.781708670038
2017-08-28 06:00:00,337.0,339.3,340.5,336.55,3380.7710730900017
2017-08-28 07:00:00,339.26,340.71,341.0,338.59,1618.3814036899992
2017-08-28 08:00:00,340.58,340.01,341.1,339.09,2409.5848722500255
2017-08-28 09:00:00,340.01,339.33,340.67,338.5,2860.927399759997
2017-08-28 10:00:00,339.34,341.2,342.07,337.64,3145.5026868600007
2017-08-28 11:00:00,341.2,340.96,343.0,340.3,4754.337110799991
2017-08-28 12:00:00,340.96,343.42,343.46,340.3,4956.566992200041
2017-08-28 13:00:00,343.32,342.32,344.04,341.57,3773.130643430003
2017-08-28 14:00:00,341.96,344.27,344.76,341.96,1852.6613527299999
2017-08-28 15:00:00,344.3,342.59,345.01,342.0,2329.7614402
2017-08-28 16:00:00,343.21,342.86,343.32,342.1,2982.0094265600037
2017-08-28 17:00:00,342.89,342.69,343.32,342.1,3109.78332693
2017-08-28 18:00:00,342.57,344.1,344.82,342.51,1485.32126212
2017-08-28 19:00:00,344.27,343.86,344.88,343.61,1850.9965387499988
2017-08-28 20:00:00,344.44,343.81,344.44,343.09,957.3754634500003
2017-08-28 21:00:00,343.74,347.2,347.62,343.41,5837.04740857002
2017-08-28 22:00:00,347.2,346.44,349.97,345.41,8289.355638110028
2017-08-28 23:00:00,346.52,347.09,347.4,345.65,1748.1168258399991
2017-08-29 00:00:00,347.2,346.99,347.7,346.5,1288.4982889500006
2017-08-29 01:00:00,346.99,347.8,348.57,346.42,944.2052968099999
2017-08-29 02:00:00,347.8,348.05,348.68,347.48,1109.4561939800005
2017-08-29 03:00:00,348.05,349.38,349.59,347.17,2427.7279577500035
2017-08-29 04:00:00,349.37,349.5,350.0,348.7,2206.0125700000012
2017-08-29 05:00:00,349.5,353.98,353.98,349.5,9725.039361069994
2017-08-29 06:00:00,353.98,351.0,354.0,350.5,7498.512134930006
2017-08-29 07:00:00,351.0,352.92,355.0,351.0,6568.423264600014
2017-08-29 08:00:00,352.93,357.51,358.33,352.91,5337.079078090001
2017-08-29 09:00:00,357.51,363.47,364.2,357.13,16192.754169860042
2017-08-29 10:00:00,363.24,363.59,368.0,362.0,21681.018168759998
2017-08-29 11:00:00,364.09,358.89,364.09,356.19,13675.240652670025
2017-08-29 12:00:00,358.88,361.61,363.73,358.55,5698.560841630013
2017-08-29 13:00:00,361.51,366.59,366.9,360.0,8645.041424500041
2017-08-29 14:00:00,366.58,363.9,366.9,362.15,10364.463451599999
2017-08-29 15:00:00,363.82,365.4,366.95,363.44,6309.630809270008
2017-08-29 16:00:00,365.49,371.0,371.0,364.5,7940.880351670015
2017-08-29 17:00:00,371.0,372.0,373.75,369.0,9467.209302250018
2017-08-29 18:00:00,371.91,369.52,372.13,367.22,8185.396059060007
2017-08-29 19:00:00,369.07,369.3,369.68,365.89,3887.5596349300035
2017-08-29 20:00:00,369.69,372.98,373.0,369.6,10847.399240100003
2017-08-29 21:00:00,372.95,375.49,375.66,371.71,9521.470313160025
2017-08-29 22:00:00,375.5,374.95,375.98,373.37,7774.579968150006
2017-08-29 23:00:00,375.2,372.02,375.71,372.0,3697.126053899997
2017-08-30 00:00:00,372.34,370.58,372.34,368.5,4634.952862619998
2017-08-30 01:00:00,370.04,374.08,376.0,369.75,5015.070024530008
2017-08-30 02:00:00,374.08,374.11,375.3,372.5,2846.932933739994
2017-08-30 03:00:00,374.42,374.72,375.48,372.5,2734.3291516199974
2017-08-30 04:00:00,374.8,378.98,379.0,374.72,7884.713805389975
2017-08-30 05:00:00,378.98,382.88,383.52,378.48,6480.03549453
2017-08-30 06:00:00,382.88,382.83,390.1,373.5,21265.98225408
2017-08-30 07:00:00,382.85,379.01,387.36,374.0,19589.717234099975
2017-08-30 08:00:00,379.0,379.25,380.9,375.22,6810.852850990012
2017-08-30 09:00:00,378.83,370.3,378.96,370.0,10715.379045480033
2017-08-30 10:00:00,370.01,373.92,376.38,365.1,19884.22675096995
2017-08-30 11:00:00,373.9,374.85,378.88,373.62,6786.859060070029
2017-08-30 12:00:00,374.69,382.15,388.0,374.18,12490.121938980035
2017-08-30 13:00:00,381.6,379.28,382.98,377.4,11863.580855070013
2017-08-30 14:00:00,379.45,377.76,379.78,375.08,3538.785410569993
2017-08-30 15:00:00,377.76,380.99,381.5,376.36,3992.1131637699955
2017-08-30 16:00:00,380.99,384.0,385.06,379.82,5940.900287510004
2017-08-30 17:00:00,384.0,386.26,388.9,383.97,14193.607832300017
2017-08-30 18:00:00,386.26,385.48,388.19,384.2,6743.47525818001
2017-08-30 19:00:00,386.09,385.1,386.2,384.12,2514.5137038399994
2017-08-30 20:00:00,385.1,386.0,386.0,383.5,2658.9117778200007
2017-08-30 21:00:00,385.88,382.5,386.44,380.03,5703.06396805
2017-08-30 22:00:00,382.53,385.1,386.22,382.53,2711.5508997599995
2017-08-30 23:00:00,385.09,382.78,386.0,382.25,2591.5948335199982
2017-08-31 00:00:00,382.09,383.25,384.01,381.12,3766.191453210003
2017-08-31 01:00:00,383.26,380.63,383.4,380.16,2998.525375590001
2017-08-31 02:00:00,380.69,384.72,384.8,380.1,2968.72184536
2017-08-31 03:00:00,384.66,385.03,385.14,383.08,2832.686582290002
2017-08-31 04:00:00,385.06,384.14,385.26,383.49,2224.9371561999988
2017-08-31 05:00:00,384.14,382.84,384.14,381.08,2492.7161855800014
2017-08-31 06:00:00,383.16,381.97,383.44,381.09,2142.294517149996
2017-08-31 07:00:00,381.77,380.8,382.5,380.57,2763.920325469998
2017-08-31 08:00:00,380.8,381.68,383.0,380.7,1899.0648923899964
2017-08-31 09:00:00,381.15,381.92,382.31,380.73,1982.4554644899988
2017-08-31 10:00:00,381.53,385.03,385.3,381.3,3872.385341409995
2017-08-31 11:00:00,385.11,385.1,385.97,384.0,2626.9253260699975
2017-08-31 12:00:00,385.08,385.69,386.79,384.26,3274.051810850001
2017-08-31 13:00:00,385.69,389.1,390.0,385.69,12272.664853409993
2017-08-31 14:00:00,389.1,387.79,389.86,385.98,8607.64893816
2017-08-31 15:00:00,387.74,384.97,387.99,384.0,5606.109188859997
2017-08-31 16:00:00,384.97,388.44,388.71,384.96,3512.3300056100056
2017-08-31 17:00:00,388.01,386.89,389.0,384.73,4910.608643339991
2017-08-31 18:00:00,386.9,387.32,387.88,385.51,3838.9081196299967
2017-08-31 19:00:00,387.82,384.75,388.0,380.66,8294.521369409997
2017-08-31 20:00:00,384.62,387.34,388.0,384.0,4767.927787299994
2017-08-31 21:00:00,387.0,387.45,389.0,386.29,4099.6161316600055
2017-08-31 22:00:00,387.51,386.29,388.28,385.99,4227.551431660013
2017-08-31 23:00:00,386.26,387.3,387.49,385.3,2937.3982735600025
2017-09-01 00:00:00,387.3,389.99,390.0,385.94,4857.530841180002
2017-09-01 01:00:00,389.99,393.89,394.17,389.8,9903.225398130018
2017-09-01 02:00:00,393.89,392.31,393.95,391.65,4389.753914450001
2017-09-01 03:00:00,392.32,393.28,395.03,392.14,8864.389310380022
2017-09-01 04:00:00,393.0,388.0,394.15,386.51,8621.698601830029
2017-09-01 05:00:00,387.81,386.34,389.32,384.98,6408.730384970002
2017-09-01 06:00:00,386.09,386.92,386.92,383.6,8128.995006799987
2017-09-01 07:00:00,386.87,390.5,390.5,386.2,3669.6800050700026
2017-09-01 08:00:00,390.46,390.98,392.9,389.56,4483.858995940004
2017-09-01 09:00:00,390.89,390.4,392.28,390.1,3007.792809690004
2017-09-01 10:00:00,390.61,390.91,391.34,388.49,4080.6674650600053
2017-09-01 11:00:00,390.59,390.66,392.16,387.8,5433.794502260016
2017-09-01 12:00:00,390.66,391.77,393.27,389.0,4341.171068180006
2017-09-01 13:00:00,391.5,392.0,393.64,390.71,7694.505285510011
2017-09-01 14:00:00,392.0,390.98,392.29,389.0,5406.3075011699975
2017-09-01 15:00:00,390.57,392.3,392.81,389.68,3366.3875478999994
2017-09-01 16:00:00,392.41,392.01,392.79,389.0,6768.063303730025
2017-09-01 17:00:00,391.98,393.12,394.0,391.0,6788.44585046002
2017-09-01 18:00:00,393.69,391.11,394.9,390.0,4409.426646840006
2017-09-01 19:00:00,391.1,390.42,392.44,389.71,4762.77389870004
2017-09-01 20:00:00,390.27,389.98,391.64,388.11,6393.612974480024
2017-09-01 21:00:00,389.98,389.92,391.38,388.75,3477.0565416700015
2017-09-01 22:00:00,389.8,389.09,390.9,385.6,4400.751767770007
2017-09-01 23:00:00,389.07,390.35,390.68,388.6,2437.64363345
2017-09-02 00:00:00,390.01,387.34,390.77,386.38,10352.293174640008
2017-09-02 01:00:00,387.35,386.61,388.15,382.41,9962.863260620012
2017-09-02 02:00:00,386.24,385.6,387.11,382.02,5921.947976320006
2017-09-02 03:00:00,385.5,376.98,385.87,372.01,13576.437902320004
2017-09-02 04:00:00,376.98,378.0,381.68,376.0,2957.4040182600033
2017-09-02 05:00:00,377.99,355.78,378.95,349.07,39355.4530274301
2017-09-02 06:00:00,355.22,367.86,369.39,355.2,25989.11597801989
2017-09-02 07:00:00,367.99,366.26,374.0,361.33,11991.240717539982
2017-09-02 08:00:00,366.13,362.72,366.66,354.35,8084.032599530014
2017-09-02 09:00:00,362.72,353.23,363.24,349.06,18758.74449152004
2017-09-02 10:00:00,353.4,359.89,360.0,350.0,7784.105399790008
2017-09-02 11:00:00,359.87,358.94,362.77,356.5,6320.983374720003
2017-09-02 12:00:00,358.51,354.68,361.02,351.0,7154.925184420011
2017-09-02 13:00:00,354.73,355.0,358.82,353.84,4767.654952110001
2017-09-02 14:00:00,355.0,341.59,355.8,336.01,24875.328541060004
2017-09-02 15:00:00,341.38,347.49,347.5,332.0,20033.672536989994
2017-09-02 16:00:00,347.49,340.21,347.5,339.0,10099.07455101007
2017-09-02 17:00:00,340.22,344.89,346.0,338.0,8674.086317950007
2017-09-02 18:00:00,344.99,340.81,345.01,340.66,5087.455090019997
2017-09-02 19:00:00,340.91,337.65,342.87,336.01,12152.383919610009
2017-09-02 20:00:00,337.65,328.38,338.88,328.0,20762.277882019927
2017-09-02 21:00:00,328.43,325.75,332.08,325.1,12379.665615710039
2017-09-02 22:00:00,325.72,333.11,342.65,325.72,15780.092700460033
2017-09-02 23:00:00,333.15,345.0,345.0,333.15,6503.546114499998
2017-09-03 00:00:00,345.0,348.0,353.2,344.99,12821.486287020018
2017-09-03 01:00:00,348.0,347.29,352.14,346.76,6849.766571639999
2017-09-03 02:00:00,347.3,348.39,349.06,341.0,7448.96801216002
2017-09-03 03:00:00,348.4,352.57,353.05,348.26,5121.083253990019
2017-09-03 04:00:00,352.58,358.19,358.5,352.58,10406.270617780074
2017-09-03 05:00:00,358.2,365.98,367.0,358.19,15119.911009949992
2017-09-03 06:00:00,366.5,356.6,368.4,353.71,18115.139209440065
2017-09-03 07:00:00,356.35,356.9,359.38,354.59,4441.34795401
2017-09-03 08:00:00,356.91,355.18,362.0,354.59,8308.217501939986
2017-09-03 09:00:00,355.58,346.9,355.58,345.01,11610.109269690029
2017-09-03 10:00:00,346.81,344.18,348.69,344.18,6237.417078500019
2017-09-03 11:00:00,344.55,339.55,345.65,335.4,10374.471409120026
2017-09-03 12:00:00,339.71,344.46,345.59,335.0,7877.807724430002
2017-09-03 13:00:00,344.72,328.99,344.72,328.77,14995.585017650003
2017-09-03 14:00:00,328.98,331.93,336.41,328.33,10547.581784370022
2017-09-03 15:00:00,331.5,335.9,338.42,330.84,6949.649792349985
2017-09-03 16:00:00,335.9,336.77,339.71,334.77,6351.622432389999
2017-09-03 17:00:00,336.78,345.97,346.36,336.78,15548.395955630038
2017-09-03 18:00:00,345.96,345.31,347.37,341.5,7224.156243280013
2017-09-03 19:00:00,345.31,345.71,346.97,343.83,4993.051584980002
2017-09-03 20:00:00,345.7,344.54,345.71,343.42,3613.859280369999
2017-09-03 21:00:00,344.76,349.07,349.23,341.26,8190.856155640022
2017-09-03 22:00:00,349.01,348.06,349.01,345.77,3941.2056817099983
2017-09-03 23:00:00,348.09,350.63,351.46,348.09,5738.203412280009
2017-09-04 00:00:00,350.98,344.72,351.59,341.68,8762.283278730003
2017-09-04 01:00:00,344.71,342.45,346.01,341.5,3052.919731580006
2017-09-04 02:00:00,342.44,344.9,345.0,340.1,4563.359186640006
2017-09-04 03:00:00,344.69,344.77,344.91,341.5,2142.0811068600005
2017-09-04 04:00:00,345.51,343.16,345.62,342.59,1990.4951802199985
2017-09-04 05:00:00,343.47,340.82,344.01,340.6,2181.8151049699995
2017-09-04 06:00:00,340.81,338.67,340.81,332.68,17658.716450539985
2017-09-04 07:00:00,338.87,317.29,338.93,317.1,31115.416092269945
2017-09-04 08:00:00,317.05,304.55,317.9,300.04,84828.20941781011
2017-09-04 09:00:00,304.53,313.38,313.7,302.87,40757.87223661999
2017-09-04 10:00:00,313.3,312.84,318.61,311.14,21324.77378854998
2017-09-04 11:00:00,312.84,299.64,312.85,295.0,38565.513998609895
2017-09-04 12:00:00,298.97,291.76,300.57,285.15,60192.74066834975
2017-09-04 13:00:00,291.76,295.57,302.8,290.21,19267.962488380024
2017-09-04 14:00:00,295.55,281.94,295.81,278.4,28008.721772539913
2017-09-04 15:00:00,281.85,288.14,288.44,275.0,45820.86825059998
2017-09-04 16:00:00,288.22,287.5,291.4,281.79,22726.427681370005
2017-09-04 17:00:00,287.0,278.7,287.99,278.3,23991.96444158998
2017-09-04 18:00:00,278.71,296.08,297.73,278.4,24482.749493019954
2017-09-04 19:00:00,296.4,302.0,309.9,295.69,29858.288441569868
2017-09-04 20:00:00,302.0,304.52,307.0,294.85,17116.30313722
2017-09-04 21:00:00,304.58,311.67,313.5,304.0,15618.41122827994
2017-09-04 22:00:00,311.19,301.52,311.88,301.16,13644.825241609979
2017-09-04 23:00:00,301.55,295.8,301.6,291.41,13840.535960570021
2017-09-05 00:00:00,295.62,290.01,299.0,285.7,16444.95983140004
2017-09-05 01:00:00,290.01,269.19,290.52,267.73,25774.225104629946
