RSIStrategy_2_77_34,tickers,['BTCUSDT'],initial equity,1,frequency,60 min,,
,,,,,,,,
Start date,2018/4/1 0:00,End date,2018/9/1 0:00,,,,,
,,,,,,,,
timestamp,ticker,action,quantity,exchange,price,commission,,
,,,,,,,,
2018/5/4 5:00,BTCUSDT,SHORT,0.000120044,Binance,9635.1,0.001156635,,
,,,,,,,,
2018/5/4 10:00,BTCUSDT,LONG,0.000118867,Binance,9711.05,0.001155479,,
,,,,,,,,
2018/5/4 17:00,BTCUSDT,SHORT,0.000118867,Binance,9665,0.001148849,,
,,,,,,,,
2018/5/4 18:00,BTCUSDT,LONG,0.000118814,Binance,9649.97,0.0011477,,
,,,,,,,,
2018/5/4 20:00,BTCUSDT,SHORT,0.000118814,Binance,9710.46,0.00115374,,
,,,,,,,,
2018/5/4 23:00,BTCUSDT,LONG,0.000118534,Binance,9713.99,0.001152586,,
,,,,,,,,
2018/5/5 1:00,BTCUSDT,SHORT,0.000118534,Binance,9809.99,0.001162813,,
,,,,,,,,
2018/5/5 6:00,BTCUSDT,LONG,0.000118441,Binance,9798.02,0.00116165,,
,,,,,,,,
2018/5/5 8:00,BTCUSDT,SHORT,0.000118441,Binance,9837.05,0.001165111,,
,,,,,,,,
2018/5/5 16:00,BTCUSDT,LONG,0.000116986,Binance,9939.5,0.001163946,,
,,,,,,,,
2018/5/5 22:00,BTCUSDT,SHORT,0.000116986,Binance,9841.74,0.001151345,,
,,,,,,,,
2018/5/6 2:00,BTCUSDT,LONG,0.000116152,Binance,9892.59,0.001150194,,
,,,,,,,,
2018/5/6 13:00,BTCUSDT,SHORT,0.000116152,Binance,9561,0.001110529,,
,,,,,,,,
2018/5/6 15:00,BTCUSDT,LONG,0.000116493,Binance,9513.93,0.001109418,,
,,,,,,,,
2018/5/6 17:00,BTCUSDT,SHORT,0.000116493,Binance,9619.02,0.001120551,,
,,,,,,,,
2018/5/6 18:00,BTCUSDT,LONG,0.000116823,Binance,9572.71,0.001119431,,
,,,,,,,,
2018/5/6 21:00,BTCUSDT,SHORT,0.000116823,Binance,9561.17,0.001116963,,
,,,,,,,,
2018/5/7 0:00,BTCUSDT,LONG,0.000117674,Binance,9473,0.001115846,,
,,,,,,,,
2018/5/7 6:00,BTCUSDT,SHORT,0.000117674,Binance,9371.53,0.00110279,,
,,,,,,,,
2018/5/7 7:00,BTCUSDT,LONG,0.000118035,Binance,9324.25,0.001101687,,
,,,,,,,,
2018/5/7 11:00,BTCUSDT,SHORT,0.000118035,Binance,9339,0.001102326,,
,,,,,,,,
2018/5/7 13:00,BTCUSDT,LONG,0.000118548,Binance,9280.01,0.001101224,,
,,,,,,,,
2018/5/7 15:00,BTCUSDT,SHORT,0.000118548,Binance,9365.28,0.001110231,,
,,,,,,,,
2018/5/7 17:00,BTCUSDT,LONG,0.00011839,Binance,9358.98,0.001109121,,
,,,,,,,,
2018/5/7 18:00,BTCUSDT,SHORT,0.00011839,Binance,9376.7,0.00111011,,
,,,,,,,,
2018/5/7 21:00,BTCUSDT,LONG,0.000117863,Binance,9399.79,0.001109,,
,,,,,,,,
2018/5/8 0:00,BTCUSDT,SHORT,0.000117863,Binance,9395.63,0.001107401,,
,,,,,,,,
2018/5/8 4:00,BTCUSDT,LONG,0.000117204,Binance,9429.62,0.001106293,,
,,,,,,,,
2018/5/8 7:00,BTCUSDT,SHORT,0.000117204,Binance,9370,0.001098199,,
,,,,,,,,
2018/5/8 9:00,BTCUSDT,LONG,0.000117723,Binance,9310,0.001097101,,
,,,,,,,,
2018/5/8 15:00,BTCUSDT,SHORT,0.000117723,Binance,9199.6,0.001083007,,
,,,,,,,,
2018/5/8 17:00,BTCUSDT,LONG,0.000118294,Binance,9136.94,0.001081924,,
,,,,,,,,
2018/5/8 18:00,BTCUSDT,SHORT,0.000118294,Binance,9217,0.001090313,,
,,,,,,,,
2018/5/8 20:00,BTCUSDT,LONG,0.000118753,Binance,9163.01,0.001089223,,
,,,,,,,,
2018/5/8 22:00,BTCUSDT,SHORT,0.000118753,Binance,9199.02,0.00109241,,
,,,,,,,,
2018/5/9 0:00,BTCUSDT,LONG,0.00011949,Binance,9123.99,0.001091317,,
,,,,,,,,
2018/5/9 5:00,BTCUSDT,SHORT,0.00011949,Binance,9070,0.001083775,,
,,,,,,,,
2018/5/9 7:00,BTCUSDT,LONG,0.000119738,Binance,9033.12,0.001082691,,
,,,,,,,,
2018/5/9 9:00,BTCUSDT,SHORT,0.000119738,Binance,9123,0.00109237,,
,,,,,,,,
2018/5/9 18:00,BTCUSDT,LONG,0.000117365,Binance,9288.88,0.001091278,,
,,,,,,,,
2018/5/9 22:00,BTCUSDT,SHORT,0.000117365,Binance,9319.32,0.001093759,,
,,,,,,,,
2018/5/10 5:00,BTCUSDT,LONG,0.000117247,Binance,9310,0.001092665,,
,,,,,,,,
2018/5/10 7:00,BTCUSDT,SHORT,0.000117247,Binance,9369,0.00109849,,
,,,,,,,,
2018/5/10 9:00,BTCUSDT,LONG,0.000117251,Binance,9349.98,0.001097392,,
,,,,,,,,
2018/5/10 10:00,BTCUSDT,SHORT,0.000117251,Binance,9379.99,0.001099813,,
,,,,,,,,
2018/5/10 12:00,BTCUSDT,LONG,0.000117266,Binance,9360.04,0.001098713,,
,,,,,,,,
2018/5/10 13:00,BTCUSDT,SHORT,0.000117266,Binance,9389.8,0.001101104,,
,,,,,,,,
2018/5/10 15:00,BTCUSDT,LONG,0.00011753,Binance,9350,0.001100003,,
,,,,,,,,
2018/5/10 16:00,BTCUSDT,SHORT,0.00011753,Binance,9373.71,0.00110169,,
,,,,,,,,
2018/5/10 17:00,BTCUSDT,LONG,0.000120064,Binance,9157.55,0.001100588,,
,,,,,,,,
2018/5/11 4:00,BTCUSDT,SHORT,0.000120064,Binance,8951.04,0.001074693,,
,,,,,,,,
2018/5/11 6:00,BTCUSDT,LONG,0.000121747,Binance,8809.62,0.001073619,,
,,,,,,,,
2018/5/11 14:00,BTCUSDT,SHORT,0.000121747,Binance,8640.02,0.001051897,,
,,,,,,,,
2018/5/11 18:00,BTCUSDT,LONG,0.000121971,Binance,8606.93,0.001050845,,
,,,,,,,,
2018/5/12 0:00,BTCUSDT,SHORT,0.000121971,Binance,8456,0.001031385,,
,,,,,,,,
2018/5/12 2:00,BTCUSDT,LONG,0.00012208,Binance,8431.57,0.001030354,,
,,,,,,,,
2018/5/12 7:00,BTCUSDT,SHORT,0.00012208,Binance,8311,0.001014604,,
,,,,,,,,
