,Parameters,Target
190,"[9.0, 70.0, 43.0]",0.13839311677791244
191,"[5.0, 68.0, 42.0]",0.21243791920619182
192,"[8.0, 68.0, 40.0]",0.3958583462626586
193,"[151.0, 68.0, 36.0]",0.17038680054319544
194,"[240.0, 65.0, 45.0]",0.2970248816803356
195,"[107.0, 66.0, 25.0]",0.0
196,"[69.0, 75.0, 31.0]",-0.05832480568214715
197,"[91.0, 65.0, 25.0]",0.0
198,"[56.0, 75.0, 35.0]",-0.23012237716007133
199,"[62.0, 65.0, 40.0]",-0.479109443957071
200,"[60.0, 60.0, 42.0]",-0.4063400641140903
201,"[54.0, 55.0, 25.0]",0.0029583452356281015
202,"[149.0, 75.0, 45.0]",0.1722426609765808
203,"[207.0, 55.0, 45.0]",0.07092956248134996
204,"[34.0, 65.0, 45.0]",-0.47501966796850004
205,"[222.0, 55.0, 33.0]",0.0
206,"[46.0, 65.0, 37.0]",-0.5733566427030158
207,"[228.0, 65.0, 26.0]",0.0
208,"[168.0, 75.0, 34.0]",0.0
209,"[229.0, 55.0, 25.0]",0.0
